variable_1,variable_2,real_mi,synthetic_mi,absolute_diff
age_bin,satlife,0.004025059568232379,0.05166762435088658,0.047642564782654204
family_size,social_need,0.0014458794161503596,0.03285967248686901,0.03141379307071865
health_status,satlife,0.016861198626906125,0.04512497615313024,0.028263777526224117
edu,satlife,0.014615748197787843,0.04044944718677518,0.025833698988987335
family_size,satlife,0.004481050538396268,0.026872201006418656,0.022391150468022387
age_bin,social_need,0.009108561877319524,0.031003131919410058,0.021894570042090535
health_status,hospital,0.022875879570417368,0.04431485858663803,0.02143897901622066
health_status,social_need,0.004869482404204546,0.0257418193364919,0.020872336932287353
age_bin,hospital,0.010308442479767449,0.02826410930969918,0.01795566682993173
satlife,social_need,0.002225182426459329,0.01956662535031714,0.017341442923857812
age_bin,ins,0.0028035099476312643,0.019725927972913917,0.016922418025282653
edu,hospital,0.0009824923510084044,0.011925583900328773,0.010943091549320369
ins,satlife,0.0017803802187011594,0.010832888732736766,0.009052508514035607
health_status,ins,0.0009398313203299626,0.009798253900072749,0.008858422579742786
marry,social_need,0.0011557282492573595,0.00947483548512329,0.00831910723586593
marry,family_size,0.16437283543482947,0.1726708274168367,0.00829799198200723
exercise,social_need,0.012009283795448147,0.004293817224166788,0.00771546657128136
exercise,satlife,0.002271172993973676,0.009599668135793502,0.007328495141819826
hospital,social_need,0.00021594573848679466,0.0075197826431554066,0.007303836904668612
edu,social_need,0.019526162008263084,0.026583514558039013,0.007057352549775929
marry,satlife,0.0033656624523359033,0.009536081247102347,0.006170418794766444
income_bin,exercise,0.007604519376705199,0.0019171526128185373,0.0056873667638866615
health_status,exercise,0.01029094768182423,0.004753559225016697,0.0055373884568075335
edu,ins,0.002384602898905224,0.007816456845148227,0.005431853946243003
edu,exercise,0.007314925098152753,0.012513997120496095,0.0051990720223433415
family_size,ins,0.0022163983592555702,0.007310575648646841,0.005094177289391271
age_bin,health_status,0.030960186733069623,0.026041232718387878,0.004918954014681745
age_bin,edu,0.04394413196404054,0.048275171021858826,0.004331039057818287
income_bin,social_need,0.011279864859708,0.007279527234029248,0.0040003376256787515
family_size,hospital,0.0015967582465291194,0.005156655175460252,0.0035598969289311324
income_bin,ins,0.003480659216829142,2.8126493941328656e-05,0.0034525327228878133
age_bin,exercise,0.00831899442845007,0.01171219715852546,0.0033932027300753904
gender,exercise,6.935022468848584e-05,0.003053988408101102,0.0029846381834126162
age_bin,family_size,0.052364100486229546,0.04957247774806458,0.002791622738164967
marry,ins,0.0029011452163563503,0.0002811909157689127,0.0026199543005874376
gender,satlife,0.00281148693880353,0.00043887969848264985,0.00237260724032088
family_size,exercise,0.0023639419771843747,0.004550583629629451,0.0021866416524450767
income_bin,family_size,0.048307996319656626,0.04628823901684201,0.0020197573028146176
hospital,satlife,0.0016226743643876704,0.003242686417834515,0.0016200120534468447
income_bin,hospital,0.003204066815472667,0.001732016467279246,0.001472050348193421
family_size,health_status,0.0054926737240985615,0.00410378491622565,0.0013888888078729114
marry,hospital,0.0013039031663780037,0.0026805908275725765,0.0013766876611945728
edu,health_status,0.013832840717374055,0.01509713514123971,0.0012642944238656553
hospital,ins,1.9600422567565834e-05,0.0012575791144167486,0.0012379786918491828
edu,family_size,0.006858838283175385,0.008064165107648045,0.00120532682447266
marry,health_status,0.004941670681293801,0.003820644932251434,0.0011210257490423675
exercise,ins,0.0017689385444816172,0.0006561922548841206,0.0011127462895974966
hospital,exercise,0.0011060083679229615,0.00012012339105083036,0.0009858849768721312
gender,edu,0.03573234756324423,0.036599397300630304,0.0008670497373860775
income_bin,satlife,0.008095471774080838,0.007237382362362987,0.0008580894117178502
marry,exercise,0.0034778419705774333,0.0026426933619483894,0.0008351486086290438
edu,income_bin,0.06278825172126047,0.06199915430351463,0.0007890974177458404
income_bin,health_status,0.016724680196293317,0.015943874563842858,0.0007808056324504591
gender,social_need,0.0009551925356934832,0.001714177469975875,0.0007589849342823918
age_bin,marry,0.04279695938595303,0.042053805295780164,0.000743154090172865
gender,hospital,3.4705317673133784e-05,0.0006400041200234075,0.0006052988023502737
marry,edu,0.01056664216617479,0.011124561564493048,0.0005579193983182573
gender,ins,0.000553238141833029,1.7550064146248934e-06,0.0005514831354184041
gender,health_status,0.005326404125774578,0.005592648124952929,0.0002662439991783505
marry,income_bin,0.017298217061765472,0.017435008971782656,0.00013679191001718383
gender,family_size,0.0019163180631273976,0.002042438310882578,0.00012612024775518049
ins,social_need,0.0011648315947384788,0.0012694770973268182,0.00010464550258833943
gender,income_bin,0.0005613516503151783,0.0006255303049584882,6.417865464330985e-05
age_bin,income_bin,0.03336856545077239,0.033425576400574496,5.701094980210819e-05
gender,marry,0.007592362925891105,0.007624821028538398,3.245810264729254e-05
age_bin,gender,0.0011092811153017024,0.0011087475838852806,5.335314164217619e-07
