,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0011087475838852806,0.042053805295780164,0.048275171021858826,0.033425576400574496,0.04957247774806458,0.026041232718387878,0.02826410930969918,0.01171219715852546,0.019725927972913917,0.05166762435088658,0.031003131919410058
gender,0.0011087475838852806,0.0,0.007624821028538398,0.036599397300630304,0.0006255303049584882,0.002042438310882578,0.005592648124952929,0.0006400041200234075,0.003053988408101102,1.7550064146248934e-06,0.00043887969848264985,0.001714177469975875
marry,0.042053805295780164,0.007624821028538398,0.0,0.011124561564493048,0.017435008971782656,0.1726708274168367,0.003820644932251434,0.0026805908275725765,0.0026426933619483894,0.0002811909157689127,0.009536081247102347,0.00947483548512329
edu,0.048275171021858826,0.036599397300630304,0.011124561564493048,0.0,0.06199915430351463,0.008064165107648045,0.01509713514123971,0.011925583900328773,0.012513997120496095,0.007816456845148227,0.04044944718677518,0.026583514558039013
income_bin,0.033425576400574496,0.0006255303049584882,0.017435008971782656,0.06199915430351463,0.0,0.04628823901684201,0.015943874563842858,0.001732016467279246,0.0019171526128185373,2.8126493941328656e-05,0.007237382362362987,0.007279527234029248
family_size,0.04957247774806458,0.002042438310882578,0.1726708274168367,0.008064165107648045,0.04628823901684201,0.0,0.00410378491622565,0.005156655175460252,0.004550583629629451,0.007310575648646841,0.026872201006418656,0.03285967248686901
health_status,0.026041232718387878,0.005592648124952929,0.003820644932251434,0.01509713514123971,0.015943874563842858,0.00410378491622565,0.0,0.04431485858663803,0.004753559225016697,0.009798253900072749,0.04512497615313024,0.0257418193364919
hospital,0.02826410930969918,0.0006400041200234075,0.0026805908275725765,0.011925583900328773,0.001732016467279246,0.005156655175460252,0.04431485858663803,0.0,0.00012012339105083036,0.0012575791144167486,0.003242686417834515,0.0075197826431554066
exercise,0.01171219715852546,0.003053988408101102,0.0026426933619483894,0.012513997120496095,0.0019171526128185373,0.004550583629629451,0.004753559225016697,0.00012012339105083036,0.0,0.0006561922548841206,0.009599668135793502,0.004293817224166788
ins,0.019725927972913917,1.7550064146248934e-06,0.0002811909157689127,0.007816456845148227,2.8126493941328656e-05,0.007310575648646841,0.009798253900072749,0.0012575791144167486,0.0006561922548841206,0.0,0.010832888732736766,0.0012694770973268182
satlife,0.05166762435088658,0.00043887969848264985,0.009536081247102347,0.04044944718677518,0.007237382362362987,0.026872201006418656,0.04512497615313024,0.003242686417834515,0.009599668135793502,0.010832888732736766,0.0,0.01956662535031714
social_need,0.031003131919410058,0.001714177469975875,0.00947483548512329,0.026583514558039013,0.007279527234029248,0.03285967248686901,0.0257418193364919,0.0075197826431554066,0.004293817224166788,0.0012694770973268182,0.01956662535031714,0.0
