,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.0023141578824656117,0.012075695899270225,0.000963817579599506,0.033455696742804256,0.05408750049846276,0.028906653701022134,0.00027011805443664504,0.0013678431294558524,0.00021222840718963104,0.0005351492646613748,0.00015518460172333874
gender,0.0023141578824656117,0.0,0.0075694898692992285,0.037789855456808324,0.00020164165945107948,0.0019227053247333394,0.004263467778885713,0.00020846575114699326,0.0003404266758411448,0.000912859123468529,0.005155249507249354,0.0005342071601846105
marry,0.012075695899270225,0.0075694898692992285,0.0,0.009686362010316439,0.01651895579886528,0.15902959923978788,0.004994639447024149,0.0006506666916484827,0.00022242019497507697,0.0005804624465930996,0.004442691838598967,0.0009875369693010255
edu,0.000963817579599506,0.037789855456808324,0.009686362010316439,0.0,0.0007715137855586751,0.004234861037501321,0.001306190171477907,4.0878891478073054e-05,0.0005321768454700591,0.0001800201824743719,0.0007793928445866405,0.0001391162164878293
income_bin,0.033455696742804256,0.00020164165945107948,0.01651895579886528,0.0007715137855586751,0.0,0.046369481800127337,0.019159081044854864,0.00022692907573122062,0.0003679981762245467,8.612527588686136e-06,0.00019101356489262256,7.146869419261126e-05
family_size,0.05408750049846276,0.0019227053247333394,0.15902959923978788,0.004234861037501321,0.046369481800127337,0.0,0.006343858275768445,0.0008081981231082917,0.0021441347311189013,0.0006032591324443243,0.0030609882375737087,0.0005488379856857557
health_status,0.028906653701022134,0.004263467778885713,0.004994639447024149,0.001306190171477907,0.019159081044854864,0.006343858275768445,0.0,0.00016829814019840832,0.0003941518939584582,0.00020944125801764663,0.0003910653813914873,8.872237100460492e-05
ins,0.00027011805443664504,0.00020846575114699326,0.0006506666916484827,4.0878891478073054e-05,0.00022692907573122062,0.0008081981231082917,0.00016829814019840832,0.0,0.0001470068962436085,2.4562784020801948e-05,9.644813604583677e-05,7.917791038767295e-05
satlife,0.0013678431294558524,0.0003404266758411448,0.00022242019497507697,0.0005321768454700591,0.0003679981762245467,0.0021441347311189013,0.0003941518939584582,0.0001470068962436085,0.0,0.00010322092755542592,0.0002167234971476792,7.860256001863963e-06
hospital,0.00021222840718963104,0.000912859123468529,0.0005804624465930996,0.0001800201824743719,8.612527588686136e-06,0.0006032591324443243,0.00020944125801764663,2.4562784020801948e-05,0.00010322092755542592,0.0,0.001186767499233951,6.124211440895755e-06
social_need,0.0005351492646613748,0.005155249507249354,0.004442691838598967,0.0007793928445866405,0.00019101356489262256,0.0030609882375737087,0.0003910653813914873,9.644813604583677e-05,0.0002167234971476792,0.001186767499233951,0.0,0.0010470047160927136
exercise,0.00015518460172333874,0.0005342071601846105,0.0009875369693010255,0.0001391162164878293,7.146869419261126e-05,0.0005488379856857557,8.872237100460492e-05,7.917791038767295e-05,7.860256001863963e-06,6.124211440895755e-06,0.0010470047160927136,0.0
