,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.0020065473305448805,0.01700261072657068,0.0011182769447380426,0.034670963040366654,0.06017658538683131,0.03280802778340608,0.02357752820195789,0.029965185392928386,0.02851737059376315,0.036739949892261176,0.020431536387616304
gender,0.0020065473305448805,0.0,0.007939394310624417,0.03874761484022021,0.00016506595747078912,0.0021280264574645782,0.0043225492190270415,0.0015837271442291287,0.0016693068122566046,1.5303397561033938e-05,0.0016843794867369144,0.0010425354158226374
marry,0.01700261072657068,0.007939394310624417,0.0,0.010220211755222662,0.017561409758418495,0.1579353059310713,0.006942146740952428,0.001428011874499313,0.0051015796542576,2.9517108979248974e-08,0.005376862311531269,0.0011622851258004246
edu,0.0011182769447380426,0.03874761484022021,0.010220211755222662,0.0,0.0007633333174652535,0.003730882300820834,0.001594317518037569,0.019379172497333844,0.03917047027209512,0.0019572068304897494,0.01170586687845307,0.022152763772763758
income_bin,0.034670963040366654,0.00016506595747078912,0.017561409758418495,0.0007633333174652535,0.0,0.047359623949983574,0.020078254317131252,0.00019324714737723597,0.0010670314036739237,0.00597149425121743,0.002943026691206302,0.0009405963595617989
family_size,0.06017658538683131,0.0021280264574645782,0.1579353059310713,0.003730882300820834,0.047359623949983574,0.0,0.008001302900305787,0.007725947137940889,0.022756194585752648,0.01819300164106251,0.03268444381182753,0.008952237130639161
health_status,0.03280802778340608,0.0043225492190270415,0.006942146740952428,0.001594317518037569,0.020078254317131252,0.008001302900305787,0.0,0.01455204342711172,0.0363492882330721,0.0572939749381296,0.023770225407911787,0.009004327928498309
ins,0.02357752820195789,0.0015837271442291287,0.001428011874499313,0.019379172497333844,0.00019324714737723597,0.007725947137940889,0.01455204342711172,0.0,0.022899868790137327,1.6398051217919596e-05,0.006737633302846224,0.011325215321203522
satlife,0.029965185392928386,0.0016693068122566046,0.0051015796542576,0.03917047027209512,0.0010670314036739237,0.022756194585752648,0.0363492882330721,0.022899868790137327,0.0,0.003791373387031116,0.009379567705338807,0.011034114481120811
hospital,0.02851737059376315,1.5303397561033938e-05,2.9517108979248974e-08,0.0019572068304897494,0.00597149425121743,0.01819300164106251,0.0572939749381296,1.6398051217919596e-05,0.003791373387031116,0.0,0.0002600858835672404,0.008377774204143637
social_need,0.036739949892261176,0.0016843794867369144,0.005376862311531269,0.01170586687845307,0.002943026691206302,0.03268444381182753,0.023770225407911787,0.006737633302846224,0.009379567705338807,0.0002600858835672404,0.0,0.022543120279510373
exercise,0.020431536387616304,0.0010425354158226374,0.0011622851258004246,0.022152763772763758,0.0009405963595617989,0.008952237130639161,0.009004327928498309,0.011325215321203522,0.011034114481120811,0.008377774204143637,0.022543120279510373,0.0
