,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.0023141578824656117,0.012075695899270225,0.000963817579599506,0.033455696742804256,0.05408750049846276,0.028906653701022134,0.0005016445729084905,0.0019280893774601092,0.00365834867380975,0.0007832786378609846,0.0005908657864835964
gender,0.0023141578824656117,0.0,0.0075694898692992285,0.037789855456808324,0.00020164165945107948,0.0019227053247333394,0.004263467778885713,0.00017917413023640916,0.0005756295831910868,3.724907025068336e-05,0.002274883907595171,7.409378886813478e-05
marry,0.012075695899270225,0.0075694898692992285,0.0,0.009686362010316439,0.01651895579886528,0.15902959923978788,0.004994639447024149,0.0010710744779691903,0.002056983175200533,0.00014369778745390582,0.0009339116815042653,0.0002757974323601975
edu,0.000963817579599506,0.037789855456808324,0.009686362010316439,0.0,0.0007715137855586751,0.004234861037501321,0.001306190171477907,3.7225341887582586e-05,0.003235848478883384,0.00026323900348360074,0.05405174852543149,0.00040333876754434367
income_bin,0.033455696742804256,0.00020164165945107948,0.01651895579886528,0.0007715137855586751,0.0,0.046369481800127337,0.019159081044854864,0.0005166166072803069,0.0003671908228211826,0.00027877400919290585,0.004817759722328896,0.0002634342031540976
family_size,0.05408750049846276,0.0019227053247333394,0.15902959923978788,0.004234861037501321,0.046369481800127337,0.0,0.006343858275768445,0.0009843611341683934,0.0024827904384044194,0.00033333569717120546,0.0011169183061474296,0.0005214404287325735
health_status,0.028906653701022134,0.004263467778885713,0.004994639447024149,0.001306190171477907,0.019159081044854864,0.006343858275768445,0.0,0.00014683357272650757,0.004155289359917689,0.00021386222113862347,0.0004824081932088345,3.369485209503767e-05
ins,0.0005016445729084905,0.00017917413023640916,0.0010710744779691903,3.7225341887582586e-05,0.0005166166072803069,0.0009843611341683934,0.00014683357272650757,0.0,0.000264274154138263,4.777554832557235e-05,1.935185045195964e-07,6.61105083714017e-06
satlife,0.0019280893774601092,0.0005756295831910868,0.002056983175200533,0.003235848478883384,0.0003671908228211826,0.0024827904384044194,0.004155289359917689,0.000264274154138263,0.0,0.00010608707606487439,0.0004233916105454705,4.700888287055213e-05
hospital,0.00365834867380975,3.724907025068336e-05,0.00014369778745390582,0.00026323900348360074,0.00027877400919290585,0.00033333569717120546,0.00021386222113862347,4.777554832557235e-05,0.00010608707606487439,0.0,2.0397186427531522e-05,1.75911864598588e-05
social_need,0.0007832786378609846,0.002274883907595171,0.0009339116815042653,0.05405174852543149,0.004817759722328896,0.0011169183061474296,0.0004824081932088345,1.935185045195964e-07,0.0004233916105454705,2.0397186427531522e-05,0.0,0.0001780193508763711
exercise,0.0005908657864835964,7.409378886813478e-05,0.0002757974323601975,0.00040333876754434367,0.0002634342031540976,0.0005214404287325735,3.369485209503767e-05,6.61105083714017e-06,4.700888287055213e-05,1.75911864598588e-05,0.0001780193508763711,0.0
