tsne_1,tsne_2,dataset_source
27.768726,31.380033,Real Data
59.836594,35.985737,Real Data
-26.045372,50.422173,Real Data
45.11002,-12.042458,Real Data
-67.54417,-34.301598,Real Data
-6.9001184,42.321198,Real Data
-6.849572,-37.14726,Real Data
-72.073296,-10.986776,Real Data
-26.204472,19.079252,Real Data
17.484287,-31.415855,Real Data
-18.648842,10.863881,Real Data
-32.282284,10.871318,Real Data
-1.9311273,-18.504677,Real Data
-40.03555,11.190469,Real Data
29.36671,-16.314785,Real Data
-13.011249,-16.209003,Real Data
-12.596811,-14.994573,Real Data
0.7592483,36.160343,Real Data
-12.205028,44.08623,Real Data
43.51246,26.676512,Real Data
13.520278,7.1576424,Real Data
25.750927,-13.964206,Real Data
-43.898937,-26.671305,Real Data
-4.4514904,41.24213,Real Data
-24.308147,-27.596886,Real Data
5.422906,41.405186,Real Data
-10.676937,3.9304304,Real Data
-8.541577,-5.44049,Real Data
18.56046,4.6488175,Real Data
-0.63303393,3.511841,Real Data
-10.463728,24.968758,Real Data
-75.264786,-19.550797,Real Data
46.716446,1.7512796,Real Data
11.235213,60.70947,Real Data
-23.844412,30.687346,Real Data
-22.031528,-11.872158,Real Data
-20.971197,-5.7346263,Real Data
-15.177049,36.99422,Real Data
49.62918,-10.95619,Real Data
26.028282,29.673475,Real Data
-1.3412563,-14.292375,Real Data
49.038864,1.742706,Real Data
-13.987854,-33.90712,Real Data
-19.434021,22.67147,Real Data
18.3975,29.759336,Real Data
51.67268,-11.686142,Real Data
-17.253365,-0.27420318,Real Data
-44.856693,-13.026655,Real Data
49.034077,23.968641,Real Data
61.45633,-11.56042,Real Data
30.002577,-25.977259,Real Data
9.926302,28.253473,Real Data
-43.71788,7.036507,Real Data
34.84433,15.668596,Real Data
7.346979,49.483498,Real Data
-10.772245,-9.48196,Real Data
-67.83232,-26.575016,Real Data
16.960073,31.20309,Real Data
-9.810637,-23.52492,Real Data
-29.716558,-25.642395,Real Data
84.07781,11.577945,Real Data
-35.05402,13.716471,Real Data
24.252098,51.376076,Real Data
-14.746853,-39.185257,Real Data
8.420546,9.298183,Real Data
26.969625,49.70723,Real Data
35.186245,29.650118,Real Data
-35.65504,41.871273,Real Data
-3.421868,-43.122833,Real Data
40.418793,27.001474,Real Data
-4.037465,-27.380001,Real Data
-43.885754,-36.557026,Real Data
-68.243706,-21.486979,Real Data
33.499474,5.0025125,Real Data
-16.778278,-34.27759,Real Data
27.066313,48.178883,Real Data
26.02724,29.672642,Real Data
11.991372,28.966473,Real Data
-8.855338,-40.946945,Real Data
30.81315,8.817863,Real Data
-19.988909,-14.430703,Real Data
-63.27273,-9.022583,Real Data
14.74118,35.59553,Real Data
41.396767,8.079908,Real Data
46.103436,25.919275,Real Data
7.4524326,5.3338947,Real Data
21.071968,-3.9846087,Real Data
3.195753,36.01175,Real Data
-21.336838,32.68574,Real Data
-72.04577,-10.825955,Real Data
51.218323,33.4224,Real Data
31.688982,39.067593,Real Data
-35.26339,5.5918283,Real Data
38.579067,-9.841064,Real Data
-60.112686,-41.13736,Real Data
3.6213083,-26.074942,Real Data
-71.73768,-13.551014,Real Data
-24.548012,-35.27088,Real Data
-25.820967,-14.296839,Real Data
-42.663506,-37.053837,Real Data
-9.717381,49.224125,Real Data
-20.610056,0.8078749,Real Data
58.396416,14.80552,Real Data
4.6128063,-22.963785,Real Data
-55.653328,-10.660847,Real Data
24.887922,-12.488696,Real Data
23.456215,-11.38228,Real Data
14.878557,-7.0018573,Real Data
42.47166,0.4056954,Real Data
0.46528274,43.693787,Real Data
-20.554506,45.489872,Real Data
-0.26477224,-6.1486707,Real Data
45.839226,-27.441908,Real Data
38.703007,19.585674,Real Data
-56.990932,-40.709698,Real Data
18.473593,37.931496,Real Data
22.4996,-20.195156,Real Data
13.765636,-11.5770855,Real Data
-17.453644,-10.075859,Real Data
40.103905,-12.77498,Real Data
5.978336,-40.082054,Real Data
-24.19793,-4.0883746,Real Data
-25.293259,-29.421152,Real Data
21.856579,0.86129713,Real Data
-22.389496,-3.2949684,Real Data
-19.147133,-3.156519,Real Data
51.261463,-1.983375,Real Data
39.636833,19.23763,Real Data
-8.451442,22.360626,Real Data
-20.250917,25.102524,Real Data
27.512436,32.175106,Real Data
-73.81073,-27.518013,Real Data
16.103062,-28.770903,Real Data
-20.312721,37.586113,Real Data
5.4683495,32.699005,Real Data
-65.934326,-40.100925,Real Data
-29.925678,-46.751457,Real Data
44.36145,-28.583227,Real Data
-16.991179,-13.849281,Real Data
70.121124,-7.7739367,Real Data
-9.900508,3.4174705,Real Data
-24.986656,-68.690994,Real Data
-29.46861,-21.647472,Real Data
2.7950516,-24.240793,Real Data
-0.5414096,24.69622,Real Data
28.342812,35.151913,Real Data
-19.253008,6.0272365,Real Data
-50.345295,-18.762255,Real Data
9.091826,40.822914,Real Data
13.930928,-29.943928,Real Data
-58.090897,-48.41912,Real Data
-45.070545,37.96934,Real Data
-39.852303,-37.069485,Real Data
44.165695,2.6242735,Real Data
-62.397358,-7.0554667,Real Data
-63.594013,-38.74533,Real Data
65.59041,13.458869,Real Data
-34.62418,9.861518,Real Data
-41.536865,6.0212574,Real Data
-25.890741,51.211594,Real Data
18.114246,26.01227,Real Data
12.976629,12.812373,Real Data
70.286835,0.5129944,Real Data
-8.950247,-27.33862,Real Data
48.03568,-10.076267,Real Data
-11.288953,-19.232733,Real Data
23.802048,-37.60987,Real Data
56.68218,-1.8346145,Real Data
-25.594147,16.37209,Real Data
-14.217572,1.5481364,Real Data
36.510414,33.275505,Real Data
15.96068,-35.03943,Real Data
29.077402,40.572014,Real Data
34.01333,20.092266,Real Data
-10.0928,52.326195,Real Data
41.613194,22.031023,Real Data
-14.022123,22.334122,Real Data
29.201033,20.729277,Real Data
-4.3075094,-25.73294,Real Data
14.185874,-30.199083,Real Data
14.200392,-37.658405,Real Data
-40.399582,4.202791,Real Data
72.016945,25.029518,Real Data
-67.81146,-29.927284,Real Data
-48.46134,-26.549522,Real Data
27.000854,37.9068,Real Data
31.685549,39.070564,Real Data
-2.5203993,-52.306675,Real Data
-63.034466,-8.741071,Real Data
-37.733444,-42.926723,Real Data
-9.884398,-21.783913,Real Data
30.337065,43.795036,Real Data
6.8741355,-31.644144,Real Data
-12.989153,-28.500793,Real Data
26.216246,-24.689613,Real Data
15.43567,22.81247,Real Data
-24.926193,12.259353,Real Data
-24.998419,16.211424,Real Data
7.585051,-25.41715,Real Data
-16.045687,21.353354,Real Data
5.9800677,-40.080467,Real Data
-69.06893,-37.109818,Real Data
41.364395,6.4529614,Real Data
-29.895906,4.146525,Real Data
32.830563,32.564228,Real Data
-7.431721,-39.191406,Real Data
-35.760803,-26.18297,Real Data
-23.391335,43.26133,Real Data
16.303785,-17.491325,Real Data
7.6524706,-44.31128,Real Data
52.752625,-16.511396,Real Data
-0.31487352,9.649884,Real Data
23.760914,29.975441,Real Data
-41.13005,11.107251,Real Data
41.065575,-3.7494516,Real Data
-11.281388,-15.563906,Real Data
-20.740055,-30.450962,Real Data
-16.92685,53.432266,Real Data
-25.87399,-12.772864,Real Data
13.825745,21.362692,Real Data
-0.92194444,-24.576063,Real Data
-16.805025,-39.76381,Real Data
-69.35609,-28.643478,Real Data
47.81215,3.154457,Real Data
-2.1246333,46.400272,Real Data
48.110245,12.149067,Real Data
20.071178,-7.290196,Real Data
-29.398706,-5.703528,Real Data
81.19342,3.3776944,Real Data
49.029514,-21.557144,Real Data
-36.561676,5.0080895,Real Data
67.269485,25.21604,Real Data
-2.53093,-3.33605,Real Data
-10.238928,21.19172,Real Data
2.7634304,-20.928755,Real Data
10.705609,-27.707413,Real Data
-2.6738095,25.010952,Real Data
15.2560425,-33.262157,Real Data
-52.864616,-41.60325,Real Data
-43.347588,32.30685,Real Data
-2.5957613,7.0556483,Real Data
-10.611215,-50.584373,Real Data
2.4083169,51.850235,Real Data
4.0383058,-62.87019,Real Data
5.130389,6.871294,Real Data
18.115795,-42.568413,Real Data
-7.2062674,33.967743,Real Data
-9.267853,6.164935,Real Data
-32.504,-42.975964,Real Data
-56.36226,-35.31349,Real Data
-15.434425,-15.368882,Real Data
24.887583,-12.492422,Real Data
-22.503073,-38.792095,Real Data
-13.428555,-39.842274,Real Data
-5.280464,6.8164577,Real Data
-41.25271,-36.758507,Real Data
10.201862,3.160451,Real Data
-39.833965,-2.1801157,Real Data
33.502243,5.003865,Real Data
13.626658,31.518097,Real Data
-49.31213,14.871584,Real Data
51.86983,25.831276,Real Data
25.760036,23.391111,Real Data
-68.56301,-20.88894,Real Data
44.53551,10.092983,Real Data
-22.737886,-16.020266,Real Data
30.715504,-6.4693756,Real Data
-18.455395,-19.956686,Real Data
53.159046,-1.911336,Real Data
5.1580396,24.373125,Real Data
-2.1179035,-15.679951,Real Data
7.346779,49.483326,Real Data
8.00641,64.32082,Real Data
-6.912629,41.071526,Real Data
-56.97752,-43.85335,Real Data
-3.4103534,37.478752,Real Data
11.393763,47.11858,Real Data
34.50034,10.544245,Real Data
32.6793,20.023243,Real Data
0.99333084,-53.313477,Real Data
25.758406,23.38471,Real Data
53.431908,-18.552496,Real Data
-7.739565,11.966444,Real Data
9.573396,11.459416,Real Data
