dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
CHARLS,age_bin,satlife,0.004025059568232379,0.04928103341107329,0.04525597384284091,0.04525597384284091
CHARLS,family_size,social_need,0.0014458794161503596,0.03285967248686901,0.03141379307071865,0.03141379307071865
CHARLS,health_status,satlife,0.016861198626906125,0.04490930661754976,0.028048107990643632,0.028048107990643632
CHARLS,edu,satlife,0.014615748197787843,0.04024826475952603,0.025632516561738188,0.025632516561738188
CHARLS,family_size,satlife,0.004481050538396268,0.028234185886048674,0.023753135347652405,0.023753135347652405
CHARLS,age_bin,social_need,0.009108561877319524,0.031003131919410058,0.021894570042090535,0.021894570042090535
CHARLS,health_status,hospital,0.022875879570417368,0.04419868523432904,0.02132280566391167,0.02132280566391167
CHARLS,health_status,social_need,0.004869482404204546,0.0257418193364919,0.020872336932287353,0.020872336932287353
CHARLS,age_bin,hospital,0.010308442479767449,0.029181338785079433,0.018872896305311984,0.018872896305311984
CHARLS,satlife,social_need,0.002225182426459329,0.01956662535031714,0.017341442923857812,0.017341442923857812
CHARLS,age_bin,ins,0.0028035099476312643,0.014269838690227792,0.011466328742596527,0.011466328742596527
CHARLS,edu,hospital,0.0009824923510084044,0.011498209758391234,0.01051571740738283,0.01051571740738283
CHARLS,ins,satlife,0.0017803802187011594,0.010975907446290773,0.009195527227589614,0.009195527227589614
CHARLS,health_status,ins,0.0009398313203299626,0.009456017102021447,0.008516185781691485,0.008516185781691485
CHARLS,marry,social_need,0.0011557282492573595,0.00947483548512329,0.00831910723586593,0.00831910723586593
CHARLS,exercise,social_need,0.012009283795448147,0.004293817224166788,-0.00771546657128136,0.00771546657128136
CHARLS,exercise,satlife,0.002271172993973676,0.009615222211209029,0.007344049217235353,0.007344049217235353
CHARLS,hospital,social_need,0.00021594573848679466,0.0075197826431554066,0.007303836904668612,0.007303836904668612
CHARLS,edu,social_need,0.019526162008263084,0.026583514558039013,0.007057352549775929,0.007057352549775929
CHARLS,marry,satlife,0.0033656624523359033,0.009337741275755793,0.00597207882341989,0.00597207882341989
CHARLS,edu,exercise,0.007314925098152753,0.013063842577826987,0.005748917479674234,0.005748917479674234
CHARLS,income_bin,exercise,0.007626667049340119,0.001902073577153926,-0.005724593472186193,0.005724593472186193
CHARLS,health_status,exercise,0.01029094768182423,0.004738678962711289,-0.005552268719112942,0.005552268719112942
CHARLS,income_bin,social_need,0.011289773221091343,0.007279527234029248,-0.004010245987062094,0.004010245987062094
