,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0011092811153017024,0.04279695938595303,0.04394413196404054,0.03336856545077239,0.052364100486229546,0.030960186733069623,0.029181338785079433,0.010145235458980911,0.014269838690227792,0.04928103341107329,0.031003131919410058
gender,0.0011092811153017024,0.0,0.007592362925891105,0.03573234756324423,0.0005613516503151783,0.0019163180631273976,0.005326404125774578,0.0006007227924373637,0.003056180953552423,1.2267896014370172e-05,0.00045067446466712235,0.001714177469975875
marry,0.04279695938595303,0.007592362925891105,0.0,0.01056664216617479,0.017298217061765472,0.16437283543482947,0.004941670681293801,0.002600979225467981,0.0025334760630396913,0.00017257074465396732,0.009337741275755793,0.00947483548512329
edu,0.04394413196404054,0.03573234756324423,0.01056664216617479,0.0,0.06278825172126047,0.006858838283175385,0.013832840717374055,0.011498209758391234,0.013063842577826987,0.005619062251972104,0.04024826475952603,0.026583514558039013
income_bin,0.03336856545077239,0.0005613516503151783,0.017298217061765472,0.06278825172126047,0.0,0.048307996319656626,0.016724680196293317,0.0016592504130911179,0.001902073577153926,3.540206765147158e-05,0.007255408654700646,0.007279527234029248
family_size,0.052364100486229546,0.0019163180631273976,0.16437283543482947,0.006858838283175385,0.048307996319656626,0.0,0.0054926737240985615,0.0047033666864491315,0.005206262788460478,0.005092984461367436,0.028234185886048674,0.03285967248686901
health_status,0.030960186733069623,0.005326404125774578,0.004941670681293801,0.013832840717374055,0.016724680196293317,0.0054926737240985615,0.0,0.04419868523432904,0.004738678962711289,0.009456017102021447,0.04490930661754976,0.0257418193364919
hospital,0.029181338785079433,0.0006007227924373637,0.002600979225467981,0.011498209758391234,0.0016592504130911179,0.0047033666864491315,0.04419868523432904,0.0,0.00013410054545159866,0.0012488716097040012,0.0027344858924005823,0.0075197826431554066
exercise,0.010145235458980911,0.003056180953552423,0.0025334760630396913,0.013063842577826987,0.001902073577153926,0.005206262788460478,0.004738678962711289,0.00013410054545159866,0.0,0.0006247583328792064,0.009615222211209029,0.004293817224166788
ins,0.014269838690227792,1.2267896014370172e-05,0.00017257074465396732,0.005619062251972104,3.540206765147158e-05,0.005092984461367436,0.009456017102021447,0.0012488716097040012,0.0006247583328792064,0.0,0.010975907446290773,0.0012694770973268182
satlife,0.04928103341107329,0.00045067446466712235,0.009337741275755793,0.04024826475952603,0.007255408654700646,0.028234185886048674,0.04490930661754976,0.0027344858924005823,0.009615222211209029,0.010975907446290773,0.0,0.01956662535031714
social_need,0.031003131919410058,0.001714177469975875,0.00947483548512329,0.026583514558039013,0.007279527234029248,0.03285967248686901,0.0257418193364919,0.0075197826431554066,0.004293817224166788,0.0012694770973268182,0.01956662535031714,0.0
