,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007677952481205758,0.0011637258062498351,0.027093215293317492,0.0021777675023082615,0.0022081658045177343
gender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016169984732719578,0.0032153614344656856,0.00030037568629547734,0.0008586309316705523,0.004276852813049591
marry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002140419906949159,0.005323935860046758,0.0013151253010312142,0.020484360305453454,0.0019473690998050228
edu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002494482544725257,0.011924786811792515,0.006891177840563072,0.006986085434230039,0.0019086783691730155
income_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047339188493516204,0.017006842015754337,0.00021588897545215223,0.01721205136675089,0.005811461694232238
family_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006860275709255181,0.0003720449095276999,0.003932132287689958,0.009250936528600541,0.008895187784642763
health_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02139939230316326,0.02634404567206996,0.005793325841615255,0.027147333112703554,0.0033983204469390134
hospital,0.007677952481205758,0.00016169984732719578,0.002140419906949159,0.0002494482544725257,0.0047339188493516204,0.0006860275709255181,0.02139939230316326,0.0,0.005514332431956981,0.0013927587919202664,0.0034951462933914632,0.0016797439853718545
exercise,0.0011637258062498351,0.0032153614344656856,0.005323935860046758,0.011924786811792515,0.017006842015754337,0.0003720449095276999,0.02634404567206996,0.005514332431956981,0.0,0.0010553752936404148,0.010012931780017293,0.0032360098911198877
ins,0.027093215293317492,0.00030037568629547734,0.0013151253010312142,0.006891177840563072,0.00021588897545215223,0.003932132287689958,0.005793325841615255,0.0013927587919202664,0.0010553752936404148,0.0,0.0002874182491481832,0.0009238664937373381
satlife,0.0021777675023082615,0.0008586309316705523,0.020484360305453454,0.006986085434230039,0.01721205136675089,0.009250936528600541,0.027147333112703554,0.0034951462933914632,0.010012931780017293,0.0002874182491481832,0.0,0.00188527100283037
social_need,0.0022081658045177343,0.004276852813049591,0.0019473690998050228,0.0019086783691730155,0.005811461694232238,0.008895187784642763,0.0033983204469390134,0.0016797439853718545,0.0032360098911198877,0.0009238664937373381,0.00188527100283037,0.0
