,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0005305198649165899,0.007762919023683756,0.001618336231416051,0.024093564524345842,0.0437819068473636,0.028613398238812163,0.011042449826073608,0.0087367634954129,0.03489055667548972,0.0033638723220838305,0.002890469711665747
gender,0.0005305198649165899,0.0,0.01916054709622536,0.0017738875796066977,0.010362793404636056,0.007377962978947657,0.0011788481204397377,0.00016188757024038214,0.0033613885748986216,6.409749223867944e-05,0.0010689065227678027,0.00041876554973341307
marry,0.007762919023683756,0.01916054709622536,0.0,0.008298839802178992,0.10320917033807045,0.24505499975184636,0.00968444631280041,0.0022337887732519768,0.00571830158105352,4.190467550548027e-05,0.020582621011003346,0.0005217566403342422
edu,0.001618336231416051,0.0017738875796066977,0.008298839802178992,0.0,0.08968145464247394,0.011144605672914415,0.012793779520852491,0.0010593669752000795,0.012876987277455232,0.009297855114393128,0.0072948461846297045,0.006607363531371389
income_bin,0.024093564524345842,0.010362793404636056,0.10320917033807045,0.08968145464247394,0.0,0.05919726072435396,0.03285504110771935,0.004988306961546701,0.01794369915381036,0.0033013474653771357,0.01749153611424697,0.004682156195821012
family_size,0.0437819068473636,0.007377962978947657,0.24505499975184636,0.011144605672914415,0.05919726072435396,0.0,0.007409412500969499,0.0017174798967620351,0.0025871693535428715,0.006140436985834727,0.01038861552418161,0.0018603295229386238
health_status,0.028613398238812163,0.0011788481204397377,0.00968444631280041,0.012793779520852491,0.03285504110771935,0.007409412500969499,0.0,0.025135808118829164,0.03390454042404303,0.005810518747774624,0.02750228251744122,0.0037299794863545517
hospital,0.011042449826073608,0.00016188757024038214,0.0022337887732519768,0.0010593669752000795,0.004988306961546701,0.0017174798967620351,0.025135808118829164,0.0,0.006161880374920048,0.0015015513342595752,0.0036129095769115403,0.00022472573255585826
exercise,0.0087367634954129,0.0033613885748986216,0.00571830158105352,0.012876987277455232,0.01794369915381036,0.0025871693535428715,0.03390454042404303,0.006161880374920048,0.0,0.00019097580000128345,0.01030677987633304,0.004354411616615844
ins,0.03489055667548972,6.409749223867944e-05,4.190467550548027e-05,0.009297855114393128,0.0033013474653771357,0.006140436985834727,0.005810518747774624,0.0015015513342595752,0.00019097580000128345,0.0,0.0006855411152200345,0.0026595031761412237
satlife,0.0033638723220838305,0.0010689065227678027,0.020582621011003346,0.0072948461846297045,0.01749153611424697,0.01038861552418161,0.02750228251744122,0.0036129095769115403,0.01030677987633304,0.0006855411152200345,0.0,0.00229870118923315
social_need,0.002890469711665747,0.00041876554973341307,0.0005217566403342422,0.006607363531371389,0.004682156195821012,0.0018603295229386238,0.0037299794863545517,0.00022472573255585826,0.004354411616615844,0.0026595031761412237,0.00229870118923315,0.0
