,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0005305198649165899,0.007762919023683756,0.001618336231416051,0.024093564524345842,0.0437819068473636,0.028613398238812163,0.0033644973448678506,0.007573037689163065,0.007797341382172231,0.001186104819775569,0.005098635516183481
gender,0.0005305198649165899,0.0,0.01916054709622536,0.0017738875796066977,0.010362793404636056,0.007377962978947657,0.0011788481204397377,1.8772291318636114e-07,0.00014602714043293608,0.0003644731785341568,0.00021027559109725036,0.004695618362783004
marry,0.007762919023683756,0.01916054709622536,0.0,0.008298839802178992,0.10320917033807045,0.24505499975184636,0.00968444631280041,9.33688663028176e-05,0.0003943657210067619,0.0013570299765366944,9.826070554989214e-05,0.002469125740139265
edu,0.001618336231416051,0.0017738875796066977,0.008298839802178992,0.0,0.08968145464247394,0.011144605672914415,0.012793779520852491,0.0013088152296726052,0.000952200465662717,0.0024066772738300553,0.00030876075039966595,0.004698685162198374
income_bin,0.024093564524345842,0.010362793404636056,0.10320917033807045,0.08968145464247394,0.0,0.05919726072435396,0.03285504110771935,0.00025438811219508084,0.0009368571380560242,0.003517236440829288,0.0002794847474960824,0.01049361789005325
family_size,0.0437819068473636,0.007377962978947657,0.24505499975184636,0.011144605672914415,0.05919726072435396,0.0,0.007409412500969499,0.001031452325836517,0.0022151244440151716,0.0022083046981447693,0.001137678995581068,0.010755517307581387
health_status,0.028613398238812163,0.0011788481204397377,0.00968444631280041,0.012793779520852491,0.03285504110771935,0.007409412500969499,0.0,0.0037364158156659028,0.007560494751973068,1.719290615936897e-05,0.00035494940473766593,0.007128299933293565
hospital,0.0033644973448678506,1.8772291318636114e-07,9.33688663028176e-05,0.0013088152296726052,0.00025438811219508084,0.001031452325836517,0.0037364158156659028,0.0,0.0006475479429630671,0.0001087925423393088,0.0001177632835200771,0.0019044697179277127
exercise,0.007573037689163065,0.00014602714043293608,0.0003943657210067619,0.000952200465662717,0.0009368571380560242,0.0022151244440151716,0.007560494751973068,0.0006475479429630671,0.0,0.0012463510936416983,0.0002938480963157464,0.0011184017254959565
ins,0.007797341382172231,0.0003644731785341568,0.0013570299765366944,0.0024066772738300553,0.003517236440829288,0.0022083046981447693,1.719290615936897e-05,0.0001087925423393088,0.0012463510936416983,0.0,0.0003981228660718513,0.003583369669878562
satlife,0.001186104819775569,0.00021027559109725036,9.826070554989214e-05,0.00030876075039966595,0.0002794847474960824,0.001137678995581068,0.00035494940473766593,0.0001177632835200771,0.0002938480963157464,0.0003981228660718513,0.0,0.00041343018640278026
social_need,0.005098635516183481,0.004695618362783004,0.002469125740139265,0.004698685162198374,0.01049361789005325,0.010755517307581387,0.007128299933293565,0.0019044697179277127,0.0011184017254959565,0.003583369669878562,0.00041343018640278026,0.0
