dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
SHARE,age_bin,pubpen,0.3066206273425855,0.2157523892989658,-0.09086823804361968,0.09086823804361968
SHARE,age_bin,exercise,0.020043403666328202,0.09515927896617504,0.07511587529984684,0.07511587529984684
SHARE,edu,social_need,0.05836249552663136,0.013650118489386492,-0.044712377037244865,0.044712377037244865
SHARE,income_bin,satlife,0.034223910543220305,0.0002352802515373474,-0.03398863029168296,0.03398863029168296
SHARE,health_status,exercise,0.028010036940000888,0.059531454834804765,0.03152141789480388,0.03152141789480388
SHARE,family_size,exercise,0.0024739631678361556,0.0328980339161751,0.030424070748338944,0.030424070748338944
SHARE,age_bin,social_need,0.008901707492387917,0.037643058660987536,0.02874135116859962,0.02874135116859962
SHARE,income_bin,social_need,0.07096496258770833,0.04344166115755075,-0.027523301430157583,0.027523301430157583
SHARE,health_status,satlife,0.02539595009945903,0.000515509728715124,-0.024880440370743905,0.024880440370743905
SHARE,satlife,social_need,0.02533969590846508,0.00048193422214334695,-0.024857761686321735,0.024857761686321735
SHARE,edu,exercise,0.009848866190858618,0.03420423493749121,0.02435536874663259,0.02435536874663259
SHARE,marry,exercise,0.002688858345859413,0.025883642784442606,0.023194784438583194,0.023194784438583194
SHARE,marry,social_need,0.0010141165734356694,0.023088147484027127,0.022074030910591458,0.022074030910591458
SHARE,family_size,social_need,0.00462418422046891,0.025062664229980998,0.020438480009512087,0.020438480009512087
SHARE,exercise,satlife,0.017046857781163643,0.00010672463497709249,-0.016940133146186552,0.016940133146186552
SHARE,exercise,pubpen,0.003769104915096938,0.018981915228487217,0.01521281031339028,0.01521281031339028
SHARE,health_status,pubpen,0.03601614583972667,0.020909996769279557,-0.015106149070447113,0.015106149070447113
SHARE,marry,satlife,0.01487174769558531,0.00011638613854083029,-0.014755361557044478,0.014755361557044478
SHARE,edu,pubpen,0.006080689378339582,0.018580024251798583,0.012499334873459,0.012499334873459
SHARE,exercise,social_need,0.03692976966964173,0.02469143161093567,-0.012238338058706062,0.012238338058706062
SHARE,edu,satlife,0.011772899221236156,0.00024109131400363443,-0.011531807907232522,0.011531807907232522
SHARE,family_size,satlife,0.012012999831165936,0.0012959643052463867,-0.010717035525919549,0.010717035525919549
SHARE,family_size,pubpen,0.03375094529050716,0.023569887303849235,-0.010181057986657922,0.010181057986657922
SHARE,income_bin,exercise,0.01541025993113776,0.023889656739422477,0.008479396808284717,0.008479396808284717
SHARE,health_status,social_need,0.009571489209463688,0.015584607797936006,0.006013118588472317,0.006013118588472317
SHARE,health_status,hospital,0.01887745973087139,0.013417872618953525,-0.005459587111917866,0.005459587111917866
SHARE,pubpen,social_need,5.336549895781917e-05,0.004409314213253884,0.004355948714296065,0.004355948714296065
SHARE,age_bin,satlife,0.005078587440923016,0.0007529086066102447,-0.004325678834312771,0.004325678834312771
SHARE,hospital,exercise,0.002790638810047763,0.006972417050211677,0.004181778240163914,0.004181778240163914
SHARE,hospital,satlife,0.004242480521072484,0.00010549913168323268,-0.004136981389389251,0.004136981389389251
