,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,pubpen,satlife,social_need
age_bin,0.0,0.0010529688211731447,0.01882503956703048,0.03265916002459,0.012627542448030313,0.056049904405846465,0.07278038773975828,0.0076581396384104924,0.09515927896617504,0.2157523892989658,0.0007529086066102447,0.037643058660987536
gender,0.0010529688211731447,0.0,0.015350272781326502,0.0026419287315425366,0.0025978593404997197,0.01161137528099678,0.000441470080264475,5.0377347188074184e-05,0.0002539510812083201,8.68678706663073e-05,0.00013919080948852913,0.0005747761073762736
marry,0.01882503956703048,0.015350272781326502,0.0,0.00326609267992381,0.02144445265133388,0.2653103461267458,0.00729290431306643,2.264441896707159e-05,0.025883642784442606,0.004250725151267537,0.00011638613854083029,0.023088147484027127
edu,0.03265916002459,0.0026419287315425366,0.00326609267992381,0.0,0.03905565570289865,0.004258991806011759,0.016286317644729802,0.0007899466591959059,0.03420423493749121,0.018580024251798583,0.00024109131400363443,0.013650118489386492
income_bin,0.012627542448030313,0.0025978593404997197,0.02144445265133388,0.03905565570289865,0.0,0.024971696855071123,0.007527984224375197,0.0005218038841606765,0.023889656739422477,0.004315034961076991,0.0002352802515373474,0.04344166115755075
family_size,0.056049904405846465,0.01161137528099678,0.2653103461267458,0.004258991806011759,0.024971696855071123,0.0,0.011485909482470755,0.0011695538369602481,0.0328980339161751,0.023569887303849235,0.0012959643052463867,0.025062664229980998
health_status,0.07278038773975828,0.000441470080264475,0.00729290431306643,0.016286317644729802,0.007527984224375197,0.011485909482470755,0.0,0.013417872618953525,0.059531454834804765,0.020909996769279557,0.000515509728715124,0.015584607797936006
hospital,0.0076581396384104924,5.0377347188074184e-05,2.264441896707159e-05,0.0007899466591959059,0.0005218038841606765,0.0011695538369602481,0.013417872618953525,0.0,0.006972417050211677,0.0020615691613276865,0.00010549913168323268,0.0011835498141097162
exercise,0.09515927896617504,0.0002539510812083201,0.025883642784442606,0.03420423493749121,0.023889656739422477,0.0328980339161751,0.059531454834804765,0.006972417050211677,0.0,0.018981915228487217,0.00010672463497709249,0.02469143161093567
pubpen,0.2157523892989658,8.68678706663073e-05,0.004250725151267537,0.018580024251798583,0.004315034961076991,0.023569887303849235,0.020909996769279557,0.0020615691613276865,0.018981915228487217,0.0,0.00024890659017106666,0.004409314213253884
satlife,0.0007529086066102447,0.00013919080948852913,0.00011638613854083029,0.00024109131400363443,0.0002352802515373474,0.0012959643052463867,0.000515509728715124,0.00010549913168323268,0.00010672463497709249,0.00024890659017106666,0.0,0.00048193422214334695
social_need,0.037643058660987536,0.0005747761073762736,0.023088147484027127,0.013650118489386492,0.04344166115755075,0.025062664229980998,0.015584607797936006,0.0011835498141097162,0.02469143161093567,0.004409314213253884,0.00048193422214334695,0.0
