,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.00011071081797209281,0.015866446849977872,0.03461958743526642,0.026662739124006317,0.004248910812648641,0.0012017995612471693,0.0004578263032226741,0.0016378874193287637,0.006247861972718614,0.010902699476248143,0.004081926166741835
gender,0.00011071081797209281,0.0,1.850269000527871e-05,0.007596015067106859,0.0017353345100874773,0.0010937902856870646,0.00012746233070459745,0.0012562619214752796,0.0011169547508093347,0.0004890151311287005,6.40661876863402e-06,0.0003883165063848226
marry,0.015866446849977872,1.850269000527871e-05,0.0,0.0005611747317957466,0.005057784315831017,0.010856209787216062,0.00045591795590527,5.8336712354639664e-05,0.0007892198812683993,0.0008966631000690423,0.0013622237718198815,5.4870425272364465e-05
edu,0.03461958743526642,0.007596015067106859,0.0005611747317957466,0.0,0.04402798754148758,0.0007491703937995475,0.006584696477786721,0.00016458471330665914,0.005554331515201752,0.0007816372696096419,0.016985919300519778,0.0009265751734083005
income_bin,0.026662739124006317,0.0017353345100874773,0.005057784315831017,0.04402798754148758,0.0,0.0035808539853277106,0.00010396550912677993,0.0005091166433874791,0.006337436977525944,0.004046340842127377,0.0053403819323106505,0.0006818349870633955
family_size,0.004248910812648641,0.0010937902856870646,0.010856209787216062,0.0007491703937995475,0.0035808539853277106,0.0,0.0010154707296190515,0.0012084995773352157,0.0012049264174051263,0.0052491798403002995,0.00020378159335370915,0.00014681804631141082
health_status,0.0012017995612471693,0.00012746233070459745,0.00045591795590527,0.006584696477786721,0.00010396550912677993,0.0010154707296190515,0.0,0.00024114204701539133,0.007480119999248011,0.00015531612755279034,7.917790015703197e-05,5.051619007827475e-05
ins,0.0004578263032226741,0.0012562619214752796,5.8336712354639664e-05,0.00016458471330665914,0.0005091166433874791,0.0012084995773352157,0.00024114204701539133,0.0,0.0006192817563639326,1.4782233315885351e-07,0.0004425933689873873,3.7277197664394024e-05
satlife,0.0016378874193287637,0.0011169547508093347,0.0007892198812683993,0.005554331515201752,0.006337436977525944,0.0012049264174051263,0.007480119999248011,0.0006192817563639326,0.0,8.167614392028469e-05,0.001993451483777192,0.005169439478602541
hospital,0.006247861972718614,0.0004890151311287005,0.0008966631000690423,0.0007816372696096419,0.004046340842127377,0.0052491798403002995,0.00015531612755279034,1.4782233315885351e-07,8.167614392028469e-05,0.0,4.4480005372507514e-05,3.985983080544153e-05
social_need,0.010902699476248143,6.40661876863402e-06,0.0013622237718198815,0.016985919300519778,0.0053403819323106505,0.00020378159335370915,7.917790015703197e-05,0.0004425933689873873,0.001993451483777192,4.4480005372507514e-05,0.0,0.004236775215966729
exercise,0.004081926166741835,0.0003883165063848226,5.4870425272364465e-05,0.0009265751734083005,0.0006818349870633955,0.00014681804631141082,5.051619007827475e-05,3.7277197664394024e-05,0.005169439478602541,3.985983080544153e-05,0.004236775215966729,0.0
