,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.03232143193741939,0.04513470313433854,0.12625065508547514,0.07098902224910685,0.052394762904605326,0.02060251751676347,0.004948497863465948,0.08655030245909165,0.005787953205694601,0.023483236398016846,0.03937434620671696
gender,0.03232143193741939,0.0,0.0003148815128061616,0.09440000084117708,0.013777080040237588,0.01782210827986612,0.014496052459876436,0.00024015351686703518,0.005798312350382626,0.000658713461489057,0.02759668208372336,0.0011187143081665962
marry,0.04513470313433854,0.0003148815128061616,0.0,0.006575770499162232,0.03167888152985218,0.07828093216772364,0.00724254360595196,0.003081847534578356,0.008914525290648657,0.0014597682493674193,0.0018482449423522646,0.0008579467222039165
edu,0.12625065508547514,0.09440000084117708,0.006575770499162232,0.0,0.16967071117739876,0.013597411367134321,0.01265897853748574,0.0006744964551416105,0.048692530915718464,0.005948793097306485,0.1059231040938514,0.021925182532077925
income_bin,0.07098902224910685,0.013777080040237588,0.03167888152985218,0.16967071117739876,0.0,0.02726928350079532,0.0466232250381836,0.001040383298620707,0.011514067879440947,0.008463875102753579,0.06509851291011359,0.003053182008437093
family_size,0.052394762904605326,0.01782210827986612,0.07828093216772364,0.013597411367134321,0.02726928350079532,0.0,0.03268482136554302,0.001364479798834644,0.03593086921931324,0.00807761793296908,0.04029281651014421,0.006427382960223261
health_status,0.02060251751676347,0.014496052459876436,0.00724254360595196,0.01265897853748574,0.0466232250381836,0.03268482136554302,0.0,0.0015935774316867442,0.03028329818532986,0.002544768807040739,0.004497784721630142,0.006240157124385834
ins,0.004948497863465948,0.00024015351686703518,0.003081847534578356,0.0006744964551416105,0.001040383298620707,0.001364479798834644,0.0015935774316867442,0.0,0.006712499366597801,0.0006592395367017827,0.00356074123482228,0.0006426981435116962
satlife,0.08655030245909165,0.005798312350382626,0.008914525290648657,0.048692530915718464,0.011514067879440947,0.03593086921931324,0.03028329818532986,0.006712499366597801,0.0,0.004432921151823318,0.03235316568804192,0.019011294749965994
hospital,0.005787953205694601,0.000658713461489057,0.0014597682493674193,0.005948793097306485,0.008463875102753579,0.00807761793296908,0.002544768807040739,0.0006592395367017827,0.004432921151823318,0.0,0.006366552775423218,0.0001391489255360076
social_need,0.023483236398016846,0.02759668208372336,0.0018482449423522646,0.1059231040938514,0.06509851291011359,0.04029281651014421,0.004497784721630142,0.00356074123482228,0.03235316568804192,0.006366552775423218,0.0,0.026881833857966032
exercise,0.03937434620671696,0.0011187143081665962,0.0008579467222039165,0.021925182532077925,0.003053182008437093,0.006427382960223261,0.006240157124385834,0.0006426981435116962,0.019011294749965994,0.0001391489255360076,0.026881833857966032,0.0
