,age_bin,gender,marry,edu,income_bin,family_size,health_status,ins,satlife,hospital,social_need,exercise
age_bin,0.0,0.0023141578824656117,0.012075695899270225,0.000963817579599506,0.033455696742804256,0.05408750049846276,0.028906653701022134,0.0,0.05981494250410214,0.048919867925995064,0.029731653492406265,0.00918194502420052
gender,0.0023141578824656117,0.0,0.0075694898692992285,0.037789855456808324,0.00020164165945107948,0.0019227053247333394,0.004263467778885713,0.0,0.01529236909515046,0.0005722689016481319,0.010082365016938141,0.0037540540026797034
marry,0.012075695899270225,0.0075694898692992285,0.0,0.009686362010316439,0.01651895579886528,0.15902959923978788,0.004994639447024149,0.0,0.042776722721331276,0.00041899212102712927,0.0013343233367189913,0.0016366605531364237
edu,0.000963817579599506,0.037789855456808324,0.009686362010316439,0.0,0.0007715137855586751,0.004234861037501321,0.001306190171477907,0.0,0.09744374762114716,0.01445723389473295,0.09741732362453749,0.00547514629494
income_bin,0.033455696742804256,0.00020164165945107948,0.01651895579886528,0.0007715137855586751,0.0,0.046369481800127337,0.019159081044854864,0.0,0.01159797696408222,0.003948484696181077,0.04068523194362298,0.001002232480004632
family_size,0.05408750049846276,0.0019227053247333394,0.15902959923978788,0.004234861037501321,0.046369481800127337,0.0,0.006343858275768445,0.0,0.14586848433615082,0.00248724768896574,0.08257947341408471,0.009731547349184794
health_status,0.028906653701022134,0.004263467778885713,0.004994639447024149,0.001306190171477907,0.019159081044854864,0.006343858275768445,0.0,0.0,0.05525111314681795,0.003392672484438133,0.009421174923273044,0.006716025284324247
ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satlife,0.05981494250410214,0.01529236909515046,0.042776722721331276,0.09744374762114716,0.01159797696408222,0.14586848433615082,0.05525111314681795,0.0,0.0,0.002521431005151252,0.03726443860830798,0.0014758419153454434
hospital,0.048919867925995064,0.0005722689016481319,0.00041899212102712927,0.01445723389473295,0.003948484696181077,0.00248724768896574,0.003392672484438133,0.0,0.002521431005151252,0.0,8.107987678963348e-05,0.0001733210658112841
social_need,0.029731653492406265,0.010082365016938141,0.0013343233367189913,0.09741732362453749,0.04068523194362298,0.08257947341408471,0.009421174923273044,0.0,0.03726443860830798,8.107987678963348e-05,0.0,0.0010832653504797007
exercise,0.00918194502420052,0.0037540540026797034,0.0016366605531364237,0.00547514629494,0.001002232480004632,0.009731547349184794,0.006716025284324247,0.0,0.0014758419153454434,0.0001733210658112841,0.0010832653504797007,0.0
