tsne_1,tsne_2,dataset_source
-6.7935524,-17.275364,Real Data
27.603058,24.025377,Real Data
61.61763,11.519855,Real Data
15.240697,-28.966242,Real Data
-17.735287,14.626008,Real Data
-59.213394,20.078926,Real Data
-13.377654,54.00679,Real Data
12.7793865,-22.610184,Real Data
39.810432,40.38162,Real Data
-18.406584,-15.706734,Real Data
62.431984,0.70434797,Real Data
-2.4195533,39.23428,Real Data
12.547829,17.128448,Real Data
17.748466,53.047195,Real Data
33.46052,-17.106318,Real Data
37.86217,22.812193,Real Data
-7.486385,4.8746734,Real Data
-44.736626,-5.8386245,Real Data
-19.081476,-31.073286,Real Data
-0.75697714,0.2893071,Real Data
25.678396,-43.984745,Real Data
-23.790394,8.727132,Real Data
-42.140133,30.462074,Real Data
-45.827866,33.723217,Real Data
19.253412,-59.011887,Real Data
2.3070345,-28.256533,Real Data
-45.012592,36.285748,Real Data
27.297297,-4.102572,Real Data
-4.0198326,-8.761731,Real Data
22.682894,-28.841518,Real Data
23.98316,-31.873522,Real Data
-57.100147,16.707659,Real Data
-53.000343,28.027267,Real Data
2.9880297,1.350133,Real Data
27.024387,-6.6878715,Real Data
-3.8101783,33.427376,Real Data
28.594877,-35.08749,Real Data
-16.764187,35.386997,Real Data
-15.005182,23.950134,Real Data
38.797783,9.43686,Real Data
-5.826125,-47.59167,Real Data
-13.097482,-29.517735,Real Data
-15.028763,-14.098951,Real Data
-8.1376,53.00361,Real Data
-11.926027,19.158003,Real Data
29.642273,-30.127645,Real Data
33.270134,32.384144,Real Data
-27.983248,20.452446,Real Data
11.381508,-5.6122346,Real Data
-56.213493,8.422707,Real Data
31.837854,27.727129,Real Data
43.787605,27.53929,Real Data
31.596876,36.980183,Real Data
27.64479,32.515945,Real Data
3.190697,-41.59242,Real Data
13.294616,56.274525,Real Data
-60.96221,11.52186,Real Data
41.140923,14.193607,Real Data
6.5856757,-22.472435,Real Data
-53.918877,22.136307,Real Data
14.458095,-32.53159,Real Data
-8.192117,-65.08264,Real Data
2.9270663,19.099253,Real Data
8.052183,-40.25724,Real Data
-3.2229388,12.826831,Real Data
6.223203,16.21524,Real Data
-21.622644,-6.7021885,Real Data
31.9027,-33.028484,Real Data
-22.180706,-52.024666,Real Data
1.87864,10.770726,Real Data
53.958427,22.84814,Real Data
38.65378,5.5387917,Real Data
-9.583403,14.396807,Real Data
-28.267544,-27.921858,Real Data
58.894833,-3.8094738,Real Data
-8.088209,16.788158,Real Data
28.713642,34.901756,Real Data
-20.116385,-30.910414,Real Data
-37.637547,9.496956,Real Data
-2.0702562,-45.982605,Real Data
2.6138303,-38.307243,Real Data
56.202946,20.33815,Real Data
-62.68048,13.459803,Real Data
26.530924,-35.947716,Real Data
-13.689938,-18.950085,Real Data
6.1413813,17.768154,Real Data
48.340744,23.497095,Real Data
41.320038,12.985668,Real Data
17.665659,-24.217436,Real Data
0.9307813,-38.423,Real Data
6.0794535,17.37146,Real Data
24.551533,-40.798073,Real Data
-26.964489,-21.767696,Real Data
-11.817939,-13.552327,Real Data
3.1559849,-39.998535,Real Data
5.8687534,44.73013,Real Data
7.71048,-32.330067,Real Data
-24.826921,-47.205875,Real Data
40.354618,4.8942804,Real Data
-16.95336,17.507227,Real Data
5.9104185,-20.662945,Real Data
7.828415,-34.30781,Real Data
28.23673,12.321243,Real Data
-19.842653,38.768223,Real Data
-40.975704,12.921059,Real Data
-9.22989,39.422356,Real Data
25.346752,6.6716123,Real Data
6.4607577,49.944214,Real Data
22.931297,-27.291183,Real Data
-45.908226,-2.8930345,Real Data
2.4509604,28.57913,Real Data
-50.646656,17.88199,Real Data
-25.451326,-58.287266,Real Data
-26.575258,15.248408,Real Data
56.389088,-6.8751497,Real Data
-7.4039264,51.403507,Real Data
35.0745,-26.517956,Real Data
-19.16392,24.659351,Real Data
17.695417,42.737263,Real Data
-12.38087,16.661455,Real Data
41.542942,29.459064,Real Data
-19.157745,-27.408766,Real Data
-11.885678,29.6221,Real Data
-20.936298,-50.615917,Real Data
65.512115,14.4971695,Real Data
20.6605,14.345074,Real Data
6.3507757,45.833534,Real Data
-0.5407272,2.2339554,Real Data
-6.233291,-38.84545,Real Data
-40.680397,17.639246,Real Data
-13.727436,-4.030878,Real Data
-27.388765,27.691883,Real Data
18.025526,-50.829082,Real Data
31.355074,15.8201475,Real Data
9.255638,-40.151936,Real Data
-33.630768,21.476746,Real Data
-41.782036,46.254818,Real Data
-32.054497,39.29379,Real Data
37.938496,31.127697,Real Data
-1.7725751,-14.750937,Real Data
-23.739948,-23.412077,Real Data
28.823153,44.561718,Real Data
-1.3817947,-35.071033,Real Data
56.549515,6.8316817,Real Data
-6.7886305,-19.896376,Real Data
-55.042194,-0.4207688,Real Data
9.301385,-47.92932,Real Data
4.69871,46.01587,Real Data
17.778618,-12.087625,Real Data
-18.483057,-13.461592,Real Data
52.491173,0.7077142,Real Data
32.993393,31.092215,Real Data
-47.695747,32.83348,Real Data
3.8532658,14.418368,Real Data
-8.595754,-16.218443,Real Data
-51.176487,-2.2022505,Real Data
11.735117,-25.983315,Real Data
10.812039,-37.286556,Real Data
-35.687252,46.081436,Real Data
-60.320786,8.661294,Real Data
26.49688,-39.247726,Real Data
-46.603172,27.17241,Real Data
5.121024,-26.707802,Real Data
3.5570614,17.181246,Real Data
9.36645,-14.2416935,Real Data
-3.335547,8.174993,Real Data
-16.309929,-52.54317,Real Data
-23.869133,29.194773,Real Data
27.607285,24.026852,Real Data
-8.86618,46.400566,Real Data
-33.032574,7.2812495,Real Data
50.59295,23.05838,Real Data
5.551964,12.406486,Real Data
8.233486,-56.64797,Real Data
4.6739497,49.345264,Real Data
61.66018,11.972868,Real Data
-31.194704,16.580143,Real Data
31.84095,-33.990402,Real Data
55.13281,-0.13428177,Real Data
11.1221895,-28.406704,Real Data
40.23651,7.7377515,Real Data
17.660387,49.243073,Real Data
19.854877,7.2003293,Real Data
9.037976,-38.136974,Real Data
10.88651,-30.908916,Real Data
-28.81562,-25.037172,Real Data
26.352983,-49.093456,Real Data
0.4238828,34.792492,Real Data
-15.937018,-10.0433445,Real Data
-16.238194,-50.566887,Real Data
13.239629,-6.171298,Real Data
31.956133,29.182556,Real Data
-22.187801,-33.045258,Real Data
30.553295,-38.954586,Real Data
-7.8438163,-51.921783,Real Data
32.46764,-12.367861,Real Data
8.710849,-46.72755,Real Data
60.9832,-8.019254,Real Data
24.150505,-54.816,Real Data
15.493156,-60.585266,Real Data
-28.518297,-18.582237,Real Data
-22.936737,-25.12073,Real Data
15.317122,-6.161079,Real Data
6.7172236,30.972,Real Data
-37.28453,21.671057,Real Data
10.29426,-14.866642,Real Data
-31.966307,-49.075966,Real Data
3.0211859,36.431175,Real Data
-21.150467,13.066263,Real Data
-23.586271,9.719022,Real Data
0.82028395,-6.078754,Real Data
-6.41263,-11.43287,Real Data
-34.23873,22.92988,Real Data
-31.317131,-19.71752,Real Data
8.838301,49.72827,Real Data
-0.54112667,13.7800455,Real Data
-0.7575503,0.247108,Real Data
50.059883,-6.247607,Real Data
40.72305,32.27792,Real Data
13.272543,-28.111664,Real Data
16.064203,-13.529192,Real Data
19.02626,48.785835,Real Data
-1.057339,-39.82589,Real Data
-33.33768,4.839028,Real Data
-33.203747,14.389266,Real Data
65.28465,25.5119,Real Data
-16.113745,-37.259693,Real Data
-10.992152,-3.3662205,Real Data
5.8682194,44.730934,Real Data
-26.42136,-26.27478,Real Data
-26.154074,-55.93031,Real Data
-24.988567,13.500675,Real Data
31.558567,-17.369081,Real Data
-24.195017,-38.437614,Real Data
4.390204,-25.55552,Real Data
9.623112,-45.82044,Real Data
-4.6545773,5.145331,Real Data
59.51847,-10.257043,Real Data
57.96491,-7.6655545,Real Data
-9.477348,-64.738144,Real Data
-10.486744,-60.517857,Real Data
-9.531019,-9.856824,Real Data
-14.737611,30.232504,Real Data
5.3047485,44.076466,Real Data
-5.741783,-43.083504,Real Data
35.425816,16.594736,Real Data
35.092777,8.64236,Real Data
-39.933342,29.305544,Real Data
-41.798756,26.776272,Real Data
23.404814,3.178995,Real Data
-3.2520838,35.882324,Real Data
12.896265,-42.598835,Real Data
-42.81045,-11.12634,Real Data
-16.68265,-39.40695,Real Data
26.950008,-10.086522,Real Data
-2.4403377,-34.382893,Real Data
30.07595,-18.851326,Real Data
-15.758595,44.179806,Real Data
-34.88887,24.492052,Real Data
36.68336,6.48424,Real Data
42.115368,-26.75119,Real Data
57.161182,-2.6442647,Real Data
15.986432,-62.494663,Real Data
0.9607405,28.30251,Real Data
-2.104857,-44.509422,Real Data
2.9708931,-58.714092,Real Data
-3.8174412,23.315424,Real Data
-9.159322,-13.358258,Real Data
62.783897,22.133192,Real Data
-54.410595,-6.6058927,Real Data
0.78222585,29.08063,Real Data
34.15214,-20.321758,Real Data
-11.257979,26.35166,Real Data
6.9699016,-37.6704,Real Data
30.434523,-38.86042,Real Data
17.955305,-44.496418,Real Data
-63.238087,14.444908,Real Data
-30.944052,-33.986206,Real Data
-1.2779983,47.071785,Real Data
62.79482,22.08705,Real Data
-16.202778,33.837467,Real Data
26.349983,20.10206,Real Data
27.211573,16.757452,Real Data
-10.408131,2.9688916,Real Data
47.755116,35.759754,Real Data
40.79256,12.747571,Real Data
-24.809347,-49.37386,Real Data
52.324505,18.533411,Real Data
2.6993723,39.922035,Real Data
-23.403952,-31.764544,Real Data
-39.371136,27.322985,Real Data
31.755537,31.48188,Real Data
32.264923,-41.29896,Real Data
-9.738126,13.257238,Real Data
-20.62265,-45.56736,Real Data
-53.278408,-7.6147194,Real Data
40.94474,11.104531,Real Data
-9.156617,-13.404505,Real Data
1.4732713,-20.493776,Real Data
45.816273,42.030685,Real Data
22.08777,-53.660587,Real Data
27.367245,35.97173,Real Data
-40.92273,-3.2094684,Real Data
-17.781227,-56.302696,Real Data
-19.763811,39.61858,Real Data
-33.788147,15.557727,Real Data
-8.186225,22.502155,Real Data
68.27957,12.689468,Real Data
63.629208,14.789857,Real Data
-34.013363,-0.719671,Real Data
57.434425,-0.7182503,Real Data
14.260929,17.969986,Real Data
18.759243,-20.034746,Real Data
13.798815,-0.16630733,Real Data
-63.172783,8.165089,Real Data
38.889935,38.924522,Real Data
37.03103,1.5888144,Real Data
22.36784,-39.102417,Real Data
-28.888668,21.101562,Real Data
-22.456598,11.956603,Real Data
-37.283524,44.384754,Real Data
23.152552,44.043476,Real Data
-23.404423,-31.763899,Real Data
-7.9625025,-51.311035,Real Data
-28.194984,-42.179054,Real Data
-5.1016564,-50.610172,Real Data
-18.051062,30.141523,Real Data
-0.014447628,13.305079,Real Data
31.752403,31.482239,Real Data
-41.589413,29.646984,Real Data
-40.104424,13.269384,Real Data
-2.9987655,-19.304182,Real Data
-5.578326,48.144615,Real Data
0.9185164,-40.17645,Real Data
-11.490354,30.557663,Real Data
30.637093,-48.94366,Real Data
-14.105021,12.454157,Real Data
-14.264908,-52.283886,Real Data
-39.939407,29.305582,Real Data
-60.042374,7.127117,Real Data
20.137245,-58.49022,Real Data
-8.261121,-44.65768,Real Data
-42.1917,46.606728,Real Data
-37.3556,43.326286,Real Data
13.377605,-25.245867,Real Data
1.8399734,-14.27074,Real Data
-25.428488,-58.70529,Real Data
-9.84587,-56.52586,Real Data
-51.389782,15.200627,Real Data
-38.23464,39.838272,Real Data
-18.851025,47.574802,Real Data
7.0639286,-45.216377,Real Data
-15.784693,-15.230408,Real Data
56.489986,25.119337,Real Data
-21.127403,-1.5856826,Real Data
52.794292,19.613169,Real Data
-26.966515,-2.3936684,Real Data
-52.687057,21.28503,Real Data
-28.477821,-7.5602946,Real Data
14.32171,-55.29412,Real Data
14.586685,57.097794,Real Data
26.496786,-35.093582,Real Data
4.1753087,18.981327,Real Data
32.296562,-48.92048,Real Data
-23.4792,16.595694,Real Data
40.698055,4.8346853,Real Data
7.1392946,10.4912,Real Data
-17.592484,41.54488,Real Data
40.394096,15.0038805,Real Data
-47.712868,32.681564,Real Data
-15.815736,-52.354824,Real Data
35.02736,-13.183705,Real Data
-52.36131,-6.1579657,Real Data
49.00987,11.627728,Real Data
-50.645504,17.884258,Real Data
-27.097332,-2.6438363,Real Data
0.5424511,-24.375328,Real Data
21.725126,-56.423653,Real Data
54.1674,0.52472275,Real Data
-9.1867,27.696995,Real Data
-1.4801662,42.761654,Real Data
-14.057328,-13.643216,Real Data
-50.699997,12.5353565,Real Data
40.737244,27.752775,Real Data
12.437927,-59.70129,Real Data
16.036568,-4.5605206,Real Data
-35.953938,3.1124244,Real Data
13.91684,-25.501596,Real Data
-57.93496,1.0222331,Real Data
-18.501024,-53.03351,Real Data
24.13585,-28.701078,Real Data
34.46539,4.1551743,Real Data
-1.815382,-4.0005426,Real Data
-55.1831,1.994866,Real Data
7.82145,-0.26062572,Real Data
-9.879079,-5.8753486,Real Data
-21.844095,9.29648,Real Data
-48.49313,-0.04308619,Real Data
-7.3256564,-49.125572,Real Data
45.61133,30.981739,Real Data
-26.83469,20.924782,Real Data
37.21682,30.917217,Real Data
62.471897,18.185589,Real Data
59.294685,13.683693,Real Data
68.33575,21.06761,Real Data
-20.294443,-30.897337,Real Data
53.35144,-0.69361734,Real Data
-21.005825,-13.483573,Real Data
26.556108,-31.016901,Real Data
-5.288948,-16.939453,Real Data
55.56615,25.19618,Real Data
-31.18072,41.43219,Real Data
7.753273,-44.37908,Real Data
-16.889858,-39.187042,Real Data
17.458158,-21.414234,Real Data
-35.410156,0.10261386,Real Data
-50.074646,-7.468368,Real Data
11.374142,-42.951847,Real Data
-21.330517,-55.71628,Real Data
-7.3773847,18.821362,Real Data
68.341156,12.695032,Real Data
35.90284,11.087401,Real Data
50.4697,22.213474,Real Data
1.6476594,15.346113,Real Data
59.258953,13.78189,Real Data
-22.116728,-20.937817,Real Data
-6.8115425,30.617086,Real Data
-8.389845,54.415287,Real Data
26.9314,26.804605,Real Data
-21.272287,26.222744,Real Data
31.547163,8.239351,Real Data
-27.935741,-0.9339031,Real Data
-12.358621,22.485296,Real Data
8.040974,39.351273,Real Data
-64.1555,8.446246,Real Data
5.2756243,-41.990322,Real Data
-58.3053,16.020094,Real Data
-46.63859,14.110649,Real Data
14.97636,52.97368,Real Data
37.96881,32.752007,Real Data
-9.938364,13.090989,Real Data
-6.4707103,7.418365,Real Data
-17.80428,19.19251,Real Data
36.70806,33.637768,Real Data
25.9666,26.88133,Real Data
-35.80997,3.238331,Real Data
36.76975,11.425783,Real Data
-14.981668,-40.01444,Real Data
47.558212,-8.003908,Real Data
2.794043,-13.26532,Real Data
-48.747967,36.492863,Real Data
7.029265,56.238857,Real Data
-21.15057,13.067238,Real Data
19.448957,2.105999,Real Data
6.502009,-31.589087,Real Data
50.112404,1.850806,Real Data
3.8436482,12.788434,Real Data
-18.37235,-40.844585,Real Data
-39.365475,27.318024,Real Data
-11.40893,22.942677,Real Data
-8.486582,-26.740536,Real Data
17.186625,-0.27384144,Real Data
55.255157,16.313326,Real Data
33.89405,23.473078,Real Data
-21.006332,-17.957245,Real Data
32.492798,12.991561,Real Data
58.372635,10.348623,Real Data
1.8532233,14.794288,Real Data
-58.272808,11.1120405,Real Data
-25.802858,11.675291,Real Data
-43.852154,5.6604424,Real Data
-19.175224,1.3984976,Real Data
-28.686352,-22.565228,Real Data
27.029743,-29.373009,Real Data
-5.7176294,-63.283955,Real Data
-44.10274,-1.3929094,Real Data
-45.902935,-6.7028465,Real Data
-22.430418,-29.673931,Real Data
28.28731,-19.052053,Real Data
-26.449366,12.346883,Real Data
56.849533,-6.820228,Real Data
34.55838,23.638723,Real Data
28.778294,-46.48343,Real Data
-8.616069,17.257776,Real Data
12.424324,-44.823326,Real Data
23.376888,-17.960144,Real Data
0.70430356,-43.112133,Real Data
-10.144609,23.423222,Real Data
61.04054,0.53565806,Real Data
-11.266567,-3.2310452,Real Data
47.302593,33.173733,Real Data
49.02347,36.338547,Real Data
-3.8555338,17.268341,Real Data
-9.903763,19.104185,Real Data
10.699972,-59.658863,Real Data
15.008879,12.946651,Real Data
-25.295506,17.630226,Real Data
-21.953726,30.140972,Real Data
7.6592727,-61.63778,Real Data
25.63451,-31.123686,Real Data
-55.154438,1.970855,Real Data
-58.388176,6.183588,Real Data
51.99985,-8.06139,Real Data
-12.794606,-51.639816,Real Data
34.73156,19.78043,Real Data
3.1532736,-39.994766,Real Data
-14.107541,-23.467356,Real Data
19.74032,-7.4496374,Real Data
32.4339,-17.490925,Real Data
-2.4197235,8.090534,Real Data
12.622506,1.3686339,Real Data
32.210854,-14.7689085,Real Data
-2.3684547,-37.244724,Real Data
-35.13967,25.512758,Real Data
-59.3241,12.474718,Real Data
5.9140234,54.88955,Real Data
6.9965444,53.701748,Real Data
14.20678,10.293028,Real Data
15.400915,-39.32931,Real Data
12.030361,27.96136,Real Data
20.359938,45.273914,Real Data
-15.946722,32.232178,Real Data
55.973534,19.375292,Real Data
-45.478622,31.650045,Real Data
37.02471,25.90365,Real Data
36.55099,-14.337393,Real Data
12.202133,-9.446629,Real Data
-23.742542,38.194405,Real Data
56.06047,-4.536119,Real Data
-40.17619,42.00073,Real Data
2.6828227,-41.76888,Real Data
36.02391,17.362598,Real Data
-36.8146,48.190952,Real Data
11.672752,-27.35923,Real Data
-27.985699,20.45277,Real Data
18.202671,16.007353,Real Data
59.45721,-11.424909,Real Data
30.333021,35.171234,Real Data
-2.2832851,-37.92311,Real Data
5.9426622,55.842514,Real Data
11.760026,-58.76557,Real Data
28.534819,-35.388447,Real Data
-15.67449,-8.414106,Real Data
-17.229118,18.922503,Real Data
10.464412,-60.861156,Real Data
-53.73484,-1.9620025,Real Data
33.212498,-38.389942,Real Data
-29.11037,1.6124737,Real Data
44.737915,-24.53083,Real Data
0.94062334,28.074488,Real Data
-53.277172,-7.6141496,Real Data
-22.756432,38.748234,Real Data
38.982426,32.107933,Real Data
-12.121989,25.967817,Real Data
3.0148318,1.3556256,Real Data
14.691454,-36.219086,Real Data
6.8669677,-4.8997064,Real Data
-42.825985,33.29145,Real Data
30.10402,22.263954,Real Data
-35.70182,4.2975397,Real Data
30.165287,-20.176973,Real Data
-12.258526,29.794828,Real Data
62.958015,9.962917,Real Data
6.5962973,39.710175,Real Data
-47.825024,16.841475,Real Data
-8.100184,15.299627,Real Data
-48.287766,30.152859,Real Data
7.2411423,54.9111,Real Data
-38.381413,-7.7493434,Real Data
-22.160042,-16.944685,Real Data
-19.779448,39.765163,Real Data
21.961582,-52.319233,Real Data
-56.002407,7.755721,Real Data
28.53984,29.991894,Real Data
30.205935,-16.038176,Real Data
-52.768932,-8.595217,Real Data
36.075863,-5.6116133,Real Data
-59.12646,22.169554,Real Data
-24.78853,24.547657,Real Data
27.396608,16.8586,Real Data
-26.422245,-26.27666,Real Data
6.878966,-29.525826,Real Data
-50.84161,2.6261241,Real Data
1.8947996,-32.551,Real Data
56.139038,-11.9104,Real Data
18.221785,-11.948815,Real Data
38.440533,36.142334,Real Data
34.05289,7.9143906,Real Data
-60.542095,15.850441,Real Data
-23.123098,-20.490759,Real Data
42.154938,13.147718,Real Data
33.638123,8.299704,Real Data
35.902992,11.086453,Real Data
-26.811003,28.897913,Real Data
-17.991398,-55.727676,Real Data
-23.442924,-48.039177,Real Data
-55.214905,-6.9542704,Real Data
24.214611,25.366365,Real Data
-20.941504,-38.85163,Real Data
-52.638016,-8.085306,Real Data
35.92666,-20.65744,Real Data
-26.073803,27.380432,Real Data
-43.82058,8.090055,Real Data
-8.021188,56.593533,Real Data
2.5943859,-21.297081,Real Data
40.826645,20.539251,Real Data
22.356703,-31.380135,Real Data
-6.7996798,-17.281576,Real Data
2.988525,-44.760586,Real Data
33.81121,-36.01631,Real Data
-52.94954,11.583123,Real Data
24.909647,6.853658,Real Data
23.420216,-54.63514,Real Data
40.908943,11.406036,Real Data
-4.728789,5.028936,Real Data
31.186136,15.663362,Real Data
-37.164295,2.278664,Real Data
60.146477,24.930319,Real Data
2.8329027,-8.485214,Real Data
-18.628666,-55.79379,Real Data
41.08698,-7.590761,Real Data
61.13627,-7.449507,Real Data
14.159316,56.19707,Real Data
-45.8267,33.721268,Real Data
-18.552553,-55.7357,Real Data
61.40705,-9.287428,Real Data
38.065384,13.799963,Real Data
-23.442867,-48.039303,Real Data
-9.442506,-40.703224,Real Data
3.2814689,18.756197,Real Data
54.91909,22.81923,Real Data
6.080965,-30.531551,Real Data
66.759125,16.566048,Real Data
18.232931,39.39762,Real Data
-7.069737,-58.269188,Real Data
24.752834,-28.643654,Real Data
7.9448395,-54.001053,Real Data
-37.14012,21.801329,Real Data
65.38722,-7.3496537,Real Data
-45.02152,40.36598,Real Data
-31.813944,-20.629084,Real Data
23.26711,8.771932,Real Data
52.7575,20.526848,Real Data
52.712547,19.019777,Real Data
28.05864,3.6010268,Real Data
-19.021145,31.674854,Real Data
-46.113632,13.726081,Real Data
-18.79918,55.201878,Real Data
54.42406,17.380938,Real Data
-7.4491177,-24.276031,Real Data
-31.144287,-24.508205,Real Data
19.910511,20.80844,Real Data
-18.295273,-22.663683,Real Data
-45.477425,31.65119,Real Data
38.711563,21.278778,Real Data
59.5783,-62.967964,Real Data
-15.73291,-48.538094,Real Data
-3.7528422,-11.557209,Real Data
-55.18238,10.771978,Real Data
-3.4180217,-14.616747,Real Data
-22.782545,-11.325288,Real Data
34.095226,32.147217,Real Data
42.762897,30.365366,Real Data
57.38304,-8.590657,Real Data
38.316902,16.264055,Real Data
14.052367,-27.557539,Real Data
16.543121,50.838577,Real Data
3.9800665,-1.0745198,Real Data
27.146702,-55.387863,Real Data
-56.62404,-4.285612,Real Data
7.2146764,-9.396758,Real Data
4.862007,21.787388,Real Data
28.638794,-4.013288,Real Data
22.96476,47.360325,Real Data
-43.669598,-1.1360191,Real Data
-25.31731,21.280321,Real Data
-16.23915,-50.57237,Real Data
28.691147,-51.61522,Real Data
32.965523,-40.018223,Real Data
54.165913,0.52383703,Real Data
-14.419457,17.223837,Real Data
-25.052296,-21.461012,Real Data
-8.414476,-50.67271,Real Data
-16.203936,-28.04144,Real Data
11.548429,-33.877213,Real Data
27.237614,16.757341,Real Data
14.052632,-27.556652,Real Data
-51.224804,31.531996,Real Data
66.70737,23.391071,Real Data
-6.00205,-45.93403,Real Data
-4.6621013,-60.40779,Real Data
14.477475,10.873694,Real Data
14.670195,-23.379951,Real Data
28.538315,-14.828884,Real Data
3.0577376,18.953663,Real Data
50.505184,11.7696495,Real Data
-14.061019,-13.644803,Real Data
-4.3155794,-45.76006,Real Data
-6.232456,-38.84618,Real Data
15.008684,12.945269,Real Data
-34.463047,19.832827,Real Data
-26.178173,-42.40004,Real Data
33.265987,32.38902,Real Data
13.508997,51.319996,Real Data
29.283197,3.9853745,Real Data
-41.77201,-28.796085,Real Data
-9.589678,-24.441906,Real Data
-39.934704,29.309431,Real Data
-16.160316,19.061108,Real Data
-2.6357665,13.79439,Real Data
-4.8363414,-62.406628,Real Data
1.9136592,-1.5978163,Real Data
18.959309,50.010914,Real Data
-33.637604,21.479856,Real Data
-31.387897,-10.595274,Real Data
-31.750599,5.5353246,Real Data
35.50709,27.208984,Real Data
27.767658,-48.51099,Real Data
-48.56014,36.90632,Real Data
-15.853187,-42.890858,Real Data
28.246437,-39.498043,Real Data
-24.991732,13.500984,Real Data
6.401847,-53.502872,Real Data
-9.805995,-37.44576,Real Data
36.27397,41.05652,Real Data
-22.009287,36.63075,Real Data
12.868081,-52.35618,Real Data
-6.886484,-11.251327,Real Data
-57.507412,0.73572433,Real Data
52.38094,13.123007,Real Data
0.19856663,15.519124,Real Data
32.85864,-21.05456,Real Data
13.732123,-37.058994,Real Data
-5.4165497,44.88551,Real Data
13.825095,-57.674484,Real Data
-20.701702,14.557514,Real Data
19.539536,-6.8460317,Real Data
-15.120574,11.035581,Real Data
66.77829,22.266811,Real Data
-14.401337,18.748558,Real Data
31.043184,23.873297,Real Data
-11.393208,-20.5012,Real Data
22.008451,-54.141262,Real Data
-36.94977,-28.91409,Real Data
-47.80498,-21.672836,Real Data
19.979227,-3.5632637,Real Data
-37.856094,-24.522081,Real Data
11.417459,-58.324768,Real Data
-49.536606,26.200878,Real Data
-37.039352,-4.2107177,Real Data
0.73077345,-30.552633,Real Data
-60.79443,6.338496,Real Data
29.041872,-41.628113,Real Data
-56.931934,16.411295,Real Data
32.845917,-13.237334,Real Data
-51.766884,33.7998,Real Data
35.934315,15.720881,Real Data
28.93099,-38.24126,Real Data
-49.807217,12.629114,Real Data
-5.47892,-45.02471,Real Data
