,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,ins,satlife,social_need
age_bin,0.0,0.0,0.0,0.0,4.224979268586948e-06,0.0,0.0,0.018872896305311984,0.001826241030530841,0.011466328742596527,0.04525597384284091,0.021894570042090535
gender,0.0,0.0,0.0,0.0,1.2313038358913175e-06,0.0,0.0,0.0005660174747642299,0.0029868307288639373,0.0005409702458186588,0.0023608124741364075,0.0007589849342823918
marry,0.0,0.0,0.0,0.0,4.825013467568695e-05,0.0,0.0,0.0012970760590899771,0.000944365907537742,0.002728574471702383,0.00597207882341989,0.00831910723586593
edu,0.0,0.0,0.0,0.0,3.757267640737416e-05,0.0,0.0,0.01051571740738283,0.005748917479674234,0.00323445935306688,0.025632516561738188,0.007057352549775929
income_bin,4.224979268586948e-06,1.2313038358913175e-06,4.825013467568695e-05,3.757267640737416e-05,0.0,1.1992234887493736e-05,4.7171189375989214e-05,0.0015543135632040683,0.005724593472186193,0.003444366588060195,0.0008385314680535091,0.004010245987062094
family_size,0.0,0.0,0.0,0.0,1.1992234887493736e-05,0.0,0.0,0.003106608439920012,0.0028423208112761033,0.0028765861021118654,0.023753135347652405,0.03141379307071865
health_status,0.0,0.0,0.0,0.0,4.7171189375989214e-05,0.0,0.0,0.02132280566391167,0.005552268719112942,0.008516185781691485,0.028048107990643632,0.020872336932287353
hospital,0.018872896305311984,0.0005660174747642299,0.0012970760590899771,0.01051571740738283,0.0015543135632040683,0.003106608439920012,0.02132280566391167,0.0,0.0009719078224713629,0.0012292711871364354,0.001111811528012912,0.007303836904668612
exercise,0.001826241030530841,0.0029868307288639373,0.000944365907537742,0.005748917479674234,0.005724593472186193,0.0028423208112761033,0.005552268719112942,0.0009719078224713629,0.0,0.0011441802116024108,0.007344049217235353,0.00771546657128136
ins,0.011466328742596527,0.0005409702458186588,0.002728574471702383,0.00323445935306688,0.003444366588060195,0.0028765861021118654,0.008516185781691485,0.0012292711871364354,0.0011441802116024108,0.0,0.009195527227589614,0.00010464550258833943
satlife,0.04525597384284091,0.0023608124741364075,0.00597207882341989,0.025632516561738188,0.0008385314680535091,0.023753135347652405,0.028048107990643632,0.001111811528012912,0.007344049217235353,0.009195527227589614,0.0,0.017341442923857812
social_need,0.021894570042090535,0.0007589849342823918,0.00831910723586593,0.007057352549775929,0.004010245987062094,0.03141379307071865,0.020872336932287353,0.007303836904668612,0.00771546657128136,0.00010464550258833943,0.017341442923857812,0.0
