dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
HRS,health_status,satlife,0.02750228251744122,0.00035494940473766593,-0.027147333112703554,0.027147333112703554
HRS,age_bin,ins,0.03489055667548972,0.007797341382172231,-0.027093215293317492,0.027093215293317492
HRS,health_status,exercise,0.03390454042404303,0.007560494751973068,-0.02634404567206996,0.02634404567206996
HRS,health_status,hospital,0.025135808118829164,0.0037364158156659028,-0.02139939230316326,0.02139939230316326
HRS,marry,satlife,0.020582621011003346,9.826070554989214e-05,-0.020484360305453454,0.020484360305453454
HRS,income_bin,satlife,0.01749153611424697,0.0002794847474960824,-0.01721205136675089,0.01721205136675089
HRS,income_bin,exercise,0.01794369915381036,0.0009368571380560242,-0.017006842015754337,0.017006842015754337
HRS,edu,exercise,0.012876987277455232,0.000952200465662717,-0.011924786811792515,0.011924786811792515
HRS,exercise,satlife,0.01030677987633304,0.0002938480963157464,-0.010012931780017293,0.010012931780017293
HRS,family_size,satlife,0.01038861552418161,0.001137678995581068,-0.009250936528600541,0.009250936528600541
HRS,family_size,social_need,0.0018603295229386238,0.010755517307581387,0.008895187784642763,0.008895187784642763
HRS,age_bin,hospital,0.011042449826073608,0.0033644973448678506,-0.007677952481205758,0.007677952481205758
HRS,edu,satlife,0.0072948461846297045,0.00030876075039966595,-0.006986085434230039,0.006986085434230039
HRS,edu,ins,0.009297855114393128,0.0024066772738300553,-0.006891177840563072,0.006891177840563072
HRS,income_bin,social_need,0.004682156195821012,0.01049361789005325,0.005811461694232238,0.005811461694232238
HRS,health_status,ins,0.005810518747774624,1.719290615936897e-05,-0.005793325841615255,0.005793325841615255
HRS,hospital,exercise,0.006161880374920048,0.0006475479429630671,-0.005514332431956981,0.005514332431956981
HRS,marry,exercise,0.00571830158105352,0.0003943657210067619,-0.005323935860046758,0.005323935860046758
HRS,income_bin,hospital,0.004988306961546701,0.00025438811219508084,-0.0047339188493516204,0.0047339188493516204
HRS,gender,social_need,0.00041876554973341307,0.004695618362783004,0.004276852813049591,0.004276852813049591
HRS,family_size,ins,0.006140436985834727,0.0022083046981447693,-0.003932132287689958,0.003932132287689958
HRS,hospital,satlife,0.0036129095769115403,0.0001177632835200771,-0.0034951462933914632,0.0034951462933914632
HRS,health_status,social_need,0.0037299794863545517,0.007128299933293565,0.0033983204469390134,0.0033983204469390134
HRS,exercise,social_need,0.004354411616615844,0.0011184017254959565,-0.0032360098911198877,0.0032360098911198877
HRS,gender,exercise,0.0033613885748986216,0.00014602714043293608,-0.0032153614344656856,0.0032153614344656856
HRS,age_bin,social_need,0.002890469711665747,0.005098635516183481,0.0022081658045177343,0.0022081658045177343
HRS,age_bin,satlife,0.0033638723220838305,0.001186104819775569,-0.0021777675023082615,0.0021777675023082615
HRS,marry,hospital,0.0022337887732519768,9.33688663028176e-05,-0.002140419906949159,0.002140419906949159
HRS,marry,social_need,0.0005217566403342422,0.002469125740139265,0.0019473690998050228,0.0019473690998050228
HRS,edu,social_need,0.006607363531371389,0.004698685162198374,-0.0019086783691730155,0.0019086783691730155
HRS,satlife,social_need,0.00229870118923315,0.00041343018640278026,-0.00188527100283037,0.00188527100283037
HRS,hospital,social_need,0.00022472573255585826,0.0019044697179277127,0.0016797439853718545,0.0016797439853718545
HRS,hospital,ins,0.0015015513342595752,0.0001087925423393088,-0.0013927587919202664,0.0013927587919202664
HRS,marry,ins,4.190467550548027e-05,0.0013570299765366944,0.0013151253010312142,0.0013151253010312142
HRS,age_bin,exercise,0.0087367634954129,0.007573037689163065,-0.0011637258062498351,0.0011637258062498351
HRS,exercise,ins,0.00019097580000128345,0.0012463510936416983,0.0010553752936404148,0.0010553752936404148
HRS,ins,social_need,0.0026595031761412237,0.003583369669878562,0.0009238664937373381,0.0009238664937373381
HRS,gender,satlife,0.0010689065227678027,0.00021027559109725036,-0.0008586309316705523,0.0008586309316705523
HRS,family_size,hospital,0.0017174798967620351,0.001031452325836517,-0.0006860275709255181,0.0006860275709255181
HRS,family_size,exercise,0.0025871693535428715,0.0022151244440151716,-0.0003720449095276999,0.0003720449095276999
HRS,gender,ins,6.409749223867944e-05,0.0003644731785341568,0.00030037568629547734,0.00030037568629547734
HRS,ins,satlife,0.0006855411152200345,0.0003981228660718513,-0.0002874182491481832,0.0002874182491481832
HRS,edu,hospital,0.0010593669752000795,0.0013088152296726052,0.0002494482544725257,0.0002494482544725257
HRS,income_bin,ins,0.0033013474653771357,0.003517236440829288,0.00021588897545215223,0.00021588897545215223
HRS,gender,hospital,0.00016188757024038214,1.8772291318636114e-07,-0.00016169984732719578,0.00016169984732719578
HRS,age_bin,edu,0.001618336231416051,0.001618336231416051,0.0,0.0
HRS,age_bin,income_bin,0.024093564524345842,0.024093564524345842,0.0,0.0
HRS,age_bin,family_size,0.0437819068473636,0.0437819068473636,0.0,0.0
HRS,age_bin,health_status,0.028613398238812163,0.028613398238812163,0.0,0.0
HRS,gender,marry,0.01916054709622536,0.01916054709622536,0.0,0.0
HRS,gender,edu,0.0017738875796066977,0.0017738875796066977,0.0,0.0
HRS,gender,income_bin,0.010362793404636056,0.010362793404636056,0.0,0.0
HRS,gender,family_size,0.007377962978947657,0.007377962978947657,0.0,0.0
HRS,gender,health_status,0.0011788481204397377,0.0011788481204397377,0.0,0.0
