,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,pubpen,satlife,social_need
age_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030068858932740666,0.07511587529984684,0.09086823804361968,0.004325678834312771,0.02874135116859962
gender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002875062142702334,0.0005600672717333277,0.00033729264816934057,0.0008409912246118891,0.00022438403829816433
marry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009065953708218277,0.023194784438583194,0.0041201096732077225,0.014755361557044478,0.022074030910591458
edu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012094127343126315,0.02435536874663259,0.012499334873459,0.011531807907232522,0.044712377037244865
income_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5832907735733333e-06,0.008479396808284717,0.0025770612452748476,0.03398863029168296,0.027523301430157583
family_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378002670209817,0.030424070748338944,0.010181057986657922,0.010717035525919549,0.020438480009512087
health_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005459587111917866,0.03152141789480388,0.015106149070447113,0.024880440370743905,0.006013118588472317
hospital,0.00030068858932740666,0.0002875062142702334,0.0009065953708218277,0.00012094127343126315,3.5832907735733333e-06,0.000378002670209817,0.005459587111917866,0.0,0.004181778240163914,0.0020655683022154786,0.004136981389389251,0.0006844412752894102
exercise,0.07511587529984684,0.0005600672717333277,0.023194784438583194,0.02435536874663259,0.008479396808284717,0.030424070748338944,0.03152141789480388,0.004181778240163914,0.0,0.01521281031339028,0.016940133146186552,0.012238338058706062
pubpen,0.09086823804361968,0.00033729264816934057,0.0041201096732077225,0.012499334873459,0.0025770612452748476,0.010181057986657922,0.015106149070447113,0.0020655683022154786,0.01521281031339028,0.0,0.0007951003327536423,0.004355948714296065
satlife,0.004325678834312771,0.0008409912246118891,0.014755361557044478,0.011531807907232522,0.03398863029168296,0.010717035525919549,0.024880440370743905,0.004136981389389251,0.016940133146186552,0.0007951003327536423,0.0,0.024857761686321735
social_need,0.02874135116859962,0.00022438403829816433,0.022074030910591458,0.044712377037244865,0.027523301430157583,0.020438480009512087,0.006013118588472317,0.0006844412752894102,0.012238338058706062,0.004355948714296065,0.024857761686321735,0.0
