,age_bin,gender,marry,edu,income_bin,family_size,health_status,hospital,exercise,pubpen,satlife,social_need
age_bin,0.0,0.0010529688211731447,0.01882503956703048,0.03265916002459,0.012627542448030313,0.056049904405846465,0.07278038773975828,0.007357451049083086,0.020043403666328202,0.3066206273425855,0.005078587440923016,0.008901707492387917
gender,0.0010529688211731447,0.0,0.015350272781326502,0.0026419287315425366,0.0025978593404997197,0.01161137528099678,0.000441470080264475,0.00033788356145830756,0.0008140183529416478,0.00042416051883564787,0.0009801820341004183,0.00035039206907810927
marry,0.01882503956703048,0.015350272781326502,0.0,0.00326609267992381,0.02144445265133388,0.2653103461267458,0.00729290431306643,0.0009292397897888993,0.002688858345859413,0.00837083482447526,0.01487174769558531,0.0010141165734356694
edu,0.03265916002459,0.0026419287315425366,0.00326609267992381,0.0,0.03905565570289865,0.004258991806011759,0.016286317644729802,0.0006690053857646427,0.009848866190858618,0.006080689378339582,0.011772899221236156,0.05836249552663136
income_bin,0.012627542448030313,0.0025978593404997197,0.02144445265133388,0.03905565570289865,0.0,0.024971696855071123,0.007527984224375197,0.0005253871749342498,0.01541025993113776,0.006892096206351839,0.034223910543220305,0.07096496258770833
family_size,0.056049904405846465,0.01161137528099678,0.2653103461267458,0.004258991806011759,0.024971696855071123,0.0,0.011485909482470755,0.0015475565071700651,0.0024739631678361556,0.03375094529050716,0.012012999831165936,0.00462418422046891
health_status,0.07278038773975828,0.000441470080264475,0.00729290431306643,0.016286317644729802,0.007527984224375197,0.011485909482470755,0.0,0.01887745973087139,0.028010036940000888,0.03601614583972667,0.02539595009945903,0.009571489209463688
hospital,0.007357451049083086,0.00033788356145830756,0.0009292397897888993,0.0006690053857646427,0.0005253871749342498,0.0015475565071700651,0.01887745973087139,0.0,0.002790638810047763,0.004127137463543165,0.004242480521072484,0.0004991085388203059
exercise,0.020043403666328202,0.0008140183529416478,0.002688858345859413,0.009848866190858618,0.01541025993113776,0.0024739631678361556,0.028010036940000888,0.002790638810047763,0.0,0.003769104915096938,0.017046857781163643,0.03692976966964173
pubpen,0.3066206273425855,0.00042416051883564787,0.00837083482447526,0.006080689378339582,0.006892096206351839,0.03375094529050716,0.03601614583972667,0.004127137463543165,0.003769104915096938,0.0,0.001044006922924709,5.336549895781917e-05
satlife,0.005078587440923016,0.0009801820341004183,0.01487174769558531,0.011772899221236156,0.034223910543220305,0.012012999831165936,0.02539595009945903,0.004242480521072484,0.017046857781163643,0.001044006922924709,0.0,0.02533969590846508
social_need,0.008901707492387917,0.00035039206907810927,0.0010141165734356694,0.05836249552663136,0.07096496258770833,0.00462418422046891,0.009571489209463688,0.0004991085388203059,0.03692976966964173,5.336549895781917e-05,0.02533969590846508,0.0
