tsne_1,tsne_2,dataset_source
62.43245,5.570673,Real Data
-51.959576,-27.77802,Real Data
-3.6853614,6.7110934,Real Data
15.59235,9.897518,Real Data
-35.852085,0.33926836,Real Data
-52.572598,-27.98045,Real Data
50.68535,37.466774,Real Data
50.376404,12.378152,Real Data
61.63828,-17.405382,Real Data
-10.216813,-41.890003,Real Data
44.796864,28.675558,Real Data
-3.290363,29.834093,Real Data
50.463364,-13.80147,Real Data
-49.288754,-24.890678,Real Data
65.302505,13.597266,Real Data
-54.26676,-23.528717,Real Data
63.056374,-12.019233,Real Data
-23.487112,20.181952,Real Data
46.702835,-31.56067,Real Data
9.548893,-39.21259,Real Data
30.260746,-32.399227,Real Data
-60.308605,7.1131096,Real Data
3.1313822,21.661863,Real Data
-51.84051,-18.654142,Real Data
-66.38122,21.214512,Real Data
19.757591,29.520063,Real Data
21.31958,26.840172,Real Data
-11.377812,-51.781387,Real Data
25.702267,5.287209,Real Data
39.927654,4.3419867,Real Data
30.761684,-28.610018,Real Data
3.564876,48.407127,Real Data
62.644352,3.20928,Real Data
65.207924,11.366033,Real Data
12.993251,-22.580755,Real Data
-2.1982033,-29.83652,Real Data
-44.099396,3.5273435,Real Data
-5.4026914,-19.820387,Real Data
-74.25336,-26.099625,Real Data
34.733315,21.212606,Real Data
-19.59029,-26.222801,Real Data
-12.305214,16.398396,Real Data
-60.58861,11.317473,Real Data
-19.495726,-17.684057,Real Data
58.03354,-10.522427,Real Data
70.49768,-0.991857,Real Data
1.80911,-43.943684,Real Data
-24.96704,-17.480589,Real Data
-39.882946,-35.651005,Real Data
43.10465,-8.590437,Real Data
37.111248,29.358,Real Data
-14.207033,-40.952164,Real Data
-68.794075,11.895771,Real Data
-37.828857,-9.558449,Real Data
19.338055,33.839436,Real Data
-28.330782,11.137821,Real Data
54.765434,38.013092,Real Data
-61.84147,-18.725416,Real Data
-22.753368,-35.522808,Real Data
53.658047,-18.906872,Real Data
-14.268257,-39.705223,Real Data
-18.693308,9.356598,Real Data
31.544502,42.178413,Real Data
22.52491,-41.720592,Real Data
-41.045624,-0.63588876,Real Data
21.398767,-37.96435,Real Data
-57.54384,22.544203,Real Data
-13.930452,10.7952795,Real Data
-32.554047,-36.594067,Real Data
66.13185,16.684807,Real Data
-16.488491,-10.4641,Real Data
-28.019644,-29.757923,Real Data
-22.120575,-8.1336355,Real Data
-62.969746,-14.7090435,Real Data
5.164582,35.034782,Real Data
41.764076,-21.003357,Real Data
23.02177,42.525406,Real Data
-41.19093,-40.78972,Real Data
29.401703,-39.20029,Real Data
-60.30785,7.117287,Real Data
-1.0217677,-9.5197735,Real Data
40.64515,31.90052,Real Data
10.660135,-6.471623,Real Data
20.791008,36.401302,Real Data
1.514743,3.3858206,Real Data
-60.215538,-15.836574,Real Data
-11.471412,-12.179036,Real Data
-75.45218,-25.250006,Real Data
-68.42052,-2.7071433,Real Data
60.570793,-20.923183,Real Data
3.598372,-2.131858,Real Data
-33.734447,-5.490937,Real Data
30.9879,-13.081273,Real Data
40.203205,-32.043495,Real Data
-17.031027,16.04857,Real Data
-3.76137,-47.551548,Real Data
-28.979746,12.803246,Real Data
-60.31389,7.1161885,Real Data
-49.84701,-28.221071,Real Data
-17.791662,10.449558,Real Data
-46.283997,10.436948,Real Data
28.9614,-6.416869,Real Data
11.56667,36.705154,Real Data
46.34858,22.900574,Real Data
-9.265321,16.20705,Real Data
28.678492,46.456806,Real Data
-75.18631,-25.493599,Real Data
7.7037287,-45.729122,Real Data
71.4814,35.59518,Real Data
-50.612133,15.73678,Real Data
-47.690376,7.5287275,Real Data
46.238293,-15.640914,Real Data
-4.311378,41.187244,Real Data
-58.51662,-20.442572,Real Data
-45.94249,15.867101,Real Data
59.070255,11.243257,Real Data
-28.827719,12.890842,Real Data
-16.112562,-43.97296,Real Data
-55.634384,9.525119,Real Data
49.02779,-6.2979245,Real Data
-24.530687,19.273664,Real Data
-32.71214,-20.54297,Real Data
-17.153086,-9.632071,Real Data
27.89857,9.885605,Real Data
-47.854218,6.8414497,Real Data
-66.477325,-9.371669,Real Data
-52.872402,5.9221244,Real Data
36.134056,-0.70453876,Real Data
47.10884,-21.952993,Real Data
-61.850548,-18.73065,Real Data
-2.1557968,4.3356137,Real Data
35.971153,-28.741585,Real Data
-51.530785,23.508707,Real Data
45.851315,19.132435,Real Data
-47.888428,28.729921,Real Data
-25.428898,21.567822,Real Data
-28.331524,38.21874,Real Data
-66.09578,1.8551083,Real Data
24.254736,-3.0725977,Real Data
19.009188,-8.167595,Real Data
46.508778,15.6850195,Real Data
-35.598446,-17.614685,Real Data
-65.556145,-13.689611,Real Data
35.921192,0.47750726,Real Data
-54.361565,-2.6267161,Real Data
-15.358846,-3.0426612,Real Data
39.27003,14.488841,Real Data
-16.62006,14.917667,Real Data
-15.297838,9.531725,Real Data
-34.389103,-36.468655,Real Data
24.316408,54.578125,Real Data
46.861404,24.75633,Real Data
-9.482523,21.517279,Real Data
6.3057384,12.922404,Real Data
52.900513,1.2470497,Real Data
10.367551,10.201059,Real Data
51.930237,20.053741,Real Data
80.08674,-4.6135387,Real Data
-47.23104,34.61423,Real Data
-30.854595,-41.012177,Real Data
23.827291,0.28337088,Real Data
-53.98556,-21.68513,Real Data
-14.709095,26.388582,Real Data
42.461857,44.443554,Real Data
-6.6048603,38.97084,Real Data
59.869858,26.405983,Real Data
